station,extreme_pp_rate,days_total,days_with_pp,extreme_pp_value,avg_increasing_chain_length_for_extremes,avg_increasing_chain_length,avg_increasing_chain_length_for_extremes_norm,avg_high_t_chain_length_for_extremes,avg_high_t_chain_length,avg_high_t_chain_length_for_extremes_norm,large_jump_pos,large_jump_pos_extreme_pp_rate,large_jump_neg,large_jump_neg_extreme_pp_rate,lat,lon,is_land,large_jump_pos_extreme_pp_rate_norm,large_jump_neg_extreme_pp_rate_norm
-20.0_-52.5,0.0056179775280898875,356,22,23.238691594451666,3.0,3.081460674157303,0.9735642661804923,2.0,1.6938202247191012,1.1807628524046434,0.03089887640449438,0.0,0.06179775280898876,0.045454545454545456,-20.0,-52.5,True,0.0,8.090909090909092
-20.0_-54.375,0.0056179775280898875,356,22,19.94539196603,2.0,3.1376404494382024,0.6374216651745748,4.5,1.7921348314606742,2.510971786833856,0.042134831460674156,0.0,0.06179775280898876,0.0,-20.0,-54.375,True,0.0,0.0
-20.0_-56.25,0.0056657223796034,353,26,42.610385455191135,2.0,2.668555240793201,0.7494692144373674,1.5,1.7195467422096318,0.872322899505766,0.04815864022662889,0.0,0.06232294617563739,0.0,-20.0,-56.25,True,0.0,0.0
-20.0_-58.125,0.00909090909090909,330,49,17.093600705266,2.6666666666666665,2.506060606060606,1.064087061668682,2.0,1.7424242424242424,1.1478260869565218,0.048484848484848485,0.0,0.06060606060606061,0.0,-20.0,-58.125,True,0.0,0.0
-20.0_-60.0,0.01486988847583643,269,63,26.170354429632425,3.0,2.7546468401486988,1.0890688259109311,2.0,1.5055762081784387,1.328395061728395,0.08178438661710037,0.09090909090909091,0.06319702602230483,0.0,-20.0,-60.0,True,6.113636363636364,0.0
-20.0_-61.875,0.014652014652014652,273,68,28.782012965530157,4.25,2.7435897435897436,1.5490654205607477,1.5,1.4761904761904763,1.0161290322580645,0.054945054945054944,0.06666666666666667,0.0695970695970696,0.0,-20.0,-61.875,True,4.55,0.0
-20.0_-63.75,0.016853932584269662,178,54,19.929535081610084,2.6666666666666665,2.943820224719101,0.9058524173027989,2.3333333333333335,1.404494382022472,1.6613333333333333,0.0898876404494382,0.0,0.033707865168539325,0.0,-20.0,-63.75,True,0.0,0.0
-20.0_-65.625,0.0027624309392265192,362,14,14.480886049568653,1.0,2.544198895027624,0.3930510314875136,1.0,1.5497237569060773,0.6452762923351159,0.03314917127071823,0.0,0.06353591160220995,0.0,-20.0,-65.625,True,0.0,0.0
-20.0_-67.5,0.0027247956403269754,367,2,2.7194544207304716,1.0,2.4959128065395095,0.40065502183406115,1.0,1.7574931880108993,0.5689922480620154,0.05722070844686648,0.0,0.043596730245231606,0.0,-20.0,-67.5,True,0.0,0.0
-20.0_-69.375,0.00273224043715847,366,2,13.085106806829572,3.0,2.5628415300546448,1.1705756929637527,1.0,1.6092896174863387,0.6213921901528014,0.05191256830601093,0.0,0.04918032786885246,0.0,-20.0,-69.375,True,0.0,0.0
-20.0_-71.25,0.005714285714285714,350,27,21.123074926435947,2.0,3.4828571428571427,0.5742411812961444,4.0,1.84,2.1739130434782608,0.05142857142857143,0.0,0.045714285714285714,0.0,-20.0,-71.25,False,0.0,0.0
-20.0_-73.125,0.0056179775280898875,356,29,5.32792448066175,5.0,5.50561797752809,0.9081632653061225,4.0,2.1853932584269664,1.8303341902313623,0.06179775280898876,0.045454545454545456,0.047752808988764044,0.0,-20.0,-73.125,False,8.090909090909092,0.0
-20.0_-75.0,0.0028089887640449437,356,16,8.496125461533666,7.0,5.264044943820225,1.3297758804695838,7.0,2.269662921348315,3.084158415841584,0.0449438202247191,0.0,0.06179775280898876,0.0,-20.0,-75.0,False,0.0,0.0
-21.25_-52.5,0.0057306590257879654,349,29,24.06270895153284,6.0,3.189111747851003,1.8814016172506738,5.0,1.7392550143266476,2.874794069192751,0.03151862464183381,0.0,0.06017191977077364,0.0,-21.25,-52.5,True,0.0,0.0
-21.25_-54.375,0.005780346820809248,346,29,20.158643927425146,3.0,3.1416184971098264,0.9549218031278749,1.5,1.7254335260115607,0.8693467336683417,0.04335260115606936,0.0,0.06936416184971098,0.0,-21.25,-54.375,True,0.0,0.0
-21.25_-56.25,0.0058309037900874635,343,32,31.148790009319782,3.0,2.6997084548104957,1.111231101511879,1.0,1.685131195335277,0.5934256055363322,0.043731778425655975,0.0,0.052478134110787174,0.0,-21.25,-56.25,True,0.0,0.0
-21.25_-58.125,0.00906344410876133,331,49,30.76339429244399,2.3333333333333335,2.43202416918429,0.9594202898550726,1.6666666666666667,1.6948640483383686,0.9833630421865717,0.045317220543806644,0.0,0.06042296072507553,0.0,-21.25,-58.125,True,0.0,0.0
-21.25_-60.0,0.01444043321299639,277,68,20.550006721168756,2.75,2.5667870036101084,1.071378340365682,1.25,1.4368231046931408,0.8699748743718593,0.061371841155234655,0.058823529411764705,0.05054151624548736,0.0,-21.25,-60.0,True,4.073529411764706,0.0
-21.25_-61.875,0.017857142857142856,224,61,19.18157092295587,3.25,2.9464285714285716,1.103030303030303,1.0,1.46875,0.6808510638297872,0.05803571428571429,0.07692307692307693,0.05803571428571429,0.0,-21.25,-61.875,True,4.307692307692308,0.0
