station,extreme_pp_rate,days_total,days_with_pp,extreme_pp_value,avg_increasing_chain_length_for_extremes,avg_increasing_chain_length,avg_increasing_chain_length_for_extremes_norm,avg_high_t_chain_length_for_extremes,avg_high_t_chain_length,avg_high_t_chain_length_for_extremes_norm,large_jump_pos,large_jump_pos_extreme_pp_rate,large_jump_neg,large_jump_neg_extreme_pp_rate,lat,lon,is_land,large_jump_pos_extreme_pp_rate_norm,large_jump_neg_extreme_pp_rate_norm
-20.0_-52.5,0.01351922264469793,2367,594,97.62652739882469,3.5625,3.7710181664554288,0.9447050750616177,1.65625,1.768060836501901,0.936760752688172,0.08027038445289396,0.005263157894736842,0.019856358259400086,0.0,-20.0,-52.5,True,0.3893092105263158,0.0
-20.0_-54.375,0.013704318936877076,2408,618,95.18654868006706,3.515151515151515,3.6706810631229234,0.9576292395615849,2.0,1.7308970099667773,1.1554702495201536,0.06893687707641195,0.024096385542168676,0.02367109634551495,0.0,-20.0,-54.375,True,1.7583059510770356,0.0
-20.0_-56.25,0.01381552214546932,2461,644,120.77446058392525,3.8529411764705883,3.5558715969118246,1.0835433933600866,1.9411764705882353,1.6700528240552621,1.162344353799914,0.05770012190166599,0.014084507042253521,0.02763104429093864,0.014705882352941176,-20.0,-56.25,True,1.0194697597348799,1.064446366782007
-20.0_-58.125,0.014053254437869823,2704,714,119.90624964237213,3.973684210526316,3.3757396449704142,1.1771299414179621,1.763157894736842,1.6305473372781065,1.0813288608229579,0.05695266272189349,0.045454545454545456,0.035133136094674555,0.010526315789473684,-20.0,-58.125,True,3.2344497607655502,0.7490304709141273
-20.0_-60.0,0.013674197384066587,3364,878,101.50495134294033,3.1956521739130435,3.0897740784780026,1.0342672612125725,1.5,1.6197978596908442,0.9260414755000917,0.058858501783590964,0.03535353535353535,0.037158145065398336,0.016,-20.0,-60.0,True,2.585419411506368,1.1700869565217393
-20.0_-61.875,0.013690815744438107,3506,925,152.57337279617786,3.3541666666666665,2.808899030233885,1.194121479826699,2.0625,1.6041072447233313,1.2857619132290186,0.05932686822589846,0.019230769230769232,0.06274957216200798,0.0,-20.0,-61.875,True,1.404647435897436,0.0
-20.0_-63.75,0.01556420233463035,2056,626,74.7749162837863,4.40625,3.269941634241245,1.3475011155734047,2.875,1.5807392996108949,1.818769230769231,0.05933852140077821,0.01639344262295082,0.03988326848249027,0.0,-20.0,-63.75,True,1.0532786885245902,0.0
-20.0_-65.625,0.015384615384615385,2080,602,49.27475284785032,3.65625,3.001923076923077,1.2179692504804613,2.09375,1.74375,1.2007168458781363,0.07067307692307692,0.027210884353741496,0.025,0.019230769230769232,-20.0,-65.625,True,1.768707482993197,1.25
-20.0_-67.5,0.004975124378109453,5829,554,43.44525821506977,3.5172413793103448,3.167610224738377,1.1103769497400346,2.103448275862069,1.942700291645222,1.0827446132108796,0.07153885743695317,0.023980815347721823,0.0391147709727226,0.0,-20.0,-67.5,True,4.820143884892087,0.0
-20.0_-69.375,0.00218281036834925,7330,317,12.652195757254958,2.875,3.129195088676671,0.9187666216157301,2.0,1.9287858117326058,1.0369217711133116,0.04965893587994543,0.0027472527472527475,0.04351978171896317,0.006269592476489028,-20.0,-69.375,True,1.258585164835165,2.872257053291536
