station,extreme_pp_rate,days_total,days_with_pp,extreme_pp_value,avg_increasing_chain_length_for_extremes,avg_increasing_chain_length,avg_increasing_chain_length_for_extremes_norm,avg_high_t_chain_length_for_extremes,avg_high_t_chain_length,avg_high_t_chain_length_for_extremes_norm,large_jump_pos,large_jump_pos_extreme_pp_rate,large_jump_neg,large_jump_neg_extreme_pp_rate,lat,lon,is_land,large_jump_pos_extreme_pp_rate_norm,large_jump_neg_extreme_pp_rate_norm
-20.311123512940057_-52.03125,0.008,125,16,14.100421406328678,1.0,2.776,0.3602305475504323,1.0,1.44,0.6944444444444444,0.032,0.0,0.048,0.0,-20.311123512940057,-52.03125,True,0.0,0.0
-20.311123512940057_-53.4375,0.008333333333333333,120,21,19.45253605954349,6.0,2.9833333333333334,2.011173184357542,2.0,1.5,1.3333333333333333,0.041666666666666664,0.0,0.03333333333333333,0.0,-20.311123512940057,-53.4375,True,0.0,0.0
-20.311123512940057_-54.84375,0.0,123,17,,,,,,,,0.056910569105691054,0.0,0.024390243902439025,0.0,-20.311123512940057,-54.84375,True,,
-20.311123512940057_-56.25,0.007407407407407408,135,22,24.603733979165554,1.0,2.814814814814815,0.35526315789473684,1.0,1.511111111111111,0.6617647058823529,0.05185185185185185,0.0,0.022222222222222223,0.0,-20.311123512940057,-56.25,True,0.0,0.0
-20.311123512940057_-57.65625,0.013793103448275862,145,19,11.143953585997224,2.0,2.8482758620689657,0.7021791767554479,1.0,1.4206896551724137,0.7038834951456311,0.05517241379310345,0.0,0.034482758620689655,0.0,-20.311123512940057,-57.65625,True,0.0,0.0
-20.311123512940057_-59.0625,0.006896551724137931,145,18,24.565273616462946,5.0,2.972413793103448,1.6821345707656612,1.0,1.4965517241379311,0.6682027649769585,0.041379310344827586,0.0,0.034482758620689655,0.0,-20.311123512940057,-59.0625,True,0.0,0.0
-20.311123512940057_-60.46875,0.013071895424836602,153,21,21.470395009964705,2.0,3.130718954248366,0.6388308977035491,1.0,1.607843137254902,0.6219512195121951,0.05228758169934641,0.0,0.0718954248366013,0.0,-20.311123512940057,-60.46875,True,0.0,0.0
-20.311123512940057_-61.875,0.007407407407407408,135,26,37.073840852826834,1.0,3.214814814814815,0.31105990783410137,6.0,1.5037037037037038,3.9901477832512313,0.05185185185185185,0.0,0.02962962962962963,0.0,-20.311123512940057,-61.875,True,0.0,0.0
-20.311123512940057_-63.28125,0.013422818791946308,149,28,54.38418500125408,6.0,3.228187919463087,1.8586278586278586,3.0,1.4899328859060403,2.0135135135135136,0.040268456375838924,0.0,0.06040268456375839,0.0,-20.311123512940057,-63.28125,True,0.0,0.0
-20.311123512940057_-64.6875,0.031746031746031744,63,21,28.503177221864462,1.5,3.238095238095238,0.4632352941176471,1.0,1.2857142857142858,0.7777777777777777,0.06349206349206349,0.25,0.06349206349206349,0.0,-20.311123512940057,-64.6875,True,7.875,0.0
-20.311123512940057_-66.09375,0.015625,64,15,13.763643661513925,1.0,2.625,0.38095238095238093,1.0,1.359375,0.735632183908046,0.078125,0.0,0.046875,0.0,-20.311123512940057,-66.09375,True,0.0,0.0
-20.311123512940057_-67.5,0.015151515151515152,66,12,11.649084370583296,1.0,3.1363636363636362,0.31884057971014496,1.0,1.6515151515151516,0.6055045871559632,0.045454545454545456,0.0,0.0,,-20.311123512940057,-67.5,True,0.0,
-20.311123512940057_-68.90625,0.02,50,13,7.942785951308906,2.0,3.48,0.5747126436781609,2.0,1.52,1.3157894736842106,0.04,0.5,0.02,0.0,-20.311123512940057,-68.90625,True,25.0,0.0
-20.311123512940057_-70.3125,0.005813953488372093,172,1,1.4842181175481528,1.0,3.5232558139534884,0.2838283828382838,1.0,1.569767441860465,0.6370370370370371,0.05232558139534884,0.0,0.05813953488372093,0.1,-20.311123512940057,-70.3125,False,0.0,17.200000000000003
-20.311123512940057_-71.71875,0.005813953488372093,172,5,3.3426496549509466,7.0,5.186046511627907,1.3497757847533631,1.0,1.552325581395349,0.644194756554307,0.06976744186046512,0.0,0.03488372093023256,0.0,-20.311123512940057,-71.71875,False,0.0,0.0
-20.311123512940057_-73.125,0.006211180124223602,161,8,1.996147830504924,7.0,5.285714285714286,1.3243243243243243,1.0,1.7018633540372672,0.5875912408759124,0.049689440993788817,0.0,0.055900621118012424,0.0,-20.311123512940057,-73.125,False,0.0,0.0
-20.311123512940057_-74.53125,0.005747126436781609,174,2,1.8749676703009754,7.0,6.212643678160919,1.1267345050878816,6.0,1.8045977011494252,3.3248407643312103,0.04597701149425287,0.0,0.05747126436781609,0.0,-20.311123512940057,-74.53125,False,0.0,0.0
-21.711889554382523_-52.03125,0.007575757575757576,132,18,15.38718268275261,1.0,3.1742424242424243,0.315035799522673,1.0,1.696969696969697,0.5892857142857143,0.06818181818181818,0.0,0.03787878787878788,0.0,-21.711889554382523,-52.03125,True,0.0,0.0
-21.711889554382523_-53.4375,0.0072992700729927005,137,17,9.776043333113194,2.0,3.0802919708029197,0.6492890995260664,1.0,1.6715328467153285,0.5982532751091703,0.072992700729927,0.0,0.021897810218978103,0.0,-21.711889554382523,-53.4375,True,0.0,0.0
-21.711889554382523_-54.84375,0.0,133,17,,,,,,,,0.06015037593984962,0.0,0.045112781954887216,0.0,-21.711889554382523,-54.84375,True,,
-21.711889554382523_-56.25,0.007462686567164179,134,20,12.048097746446729,3.0,2.917910447761194,1.0281329923273659,1.0,1.5970149253731343,0.6261682242990655,0.03731343283582089,0.0,0.03731343283582089,0.0,-21.711889554382523,-56.25,True,0.0,0.0
-21.711889554382523_-57.65625,0.0,155,15,,,,,,,,0.05161290322580645,0.0,0.04516129032258064,0.0,-21.711889554382523,-57.65625,True,,
-21.711889554382523_-59.0625,0.006622516556291391,151,22,17.251703096553683,2.0,2.629139072847682,0.7607052896725441,7.0,1.5231788079470199,4.595652173913043,0.059602649006622516,0.0,0.046357615894039736,0.0,-21.711889554382523,-59.0625,True,0.0,0.0
-21.711889554382523_-60.46875,0.01282051282051282,156,26,21.394467540085316,2.0,2.7243589743589745,0.7341176470588235,1.0,1.4679487179487178,0.6812227074235808,0.05128205128205128,0.0,0.05128205128205128,0.0,-21.711889554382523,-60.46875,True,0.0,0.0
-21.711889554382523_-61.875,0.014084507042253521,142,28,35.13933615759015,5.5,3.2816901408450705,1.6759656652360515,3.0,1.5211267605633803,1.9722222222222223,0.04225352112676056,0.0,0.02112676056338028,0.0,-21.711889554382523,-61.875,True,0.0,0.0
-21.711889554382523_-63.28125,0.014285714285714285,140,31,63.18208035081625,3.0,3.164285714285714,0.9480812641083521,3.5,1.4428571428571428,2.4257425742574257,0.02857142857142857,0.0,0.04285714285714286,0.0,-21.711889554382523,-63.28125,True,0.0,0.0
-21.711889554382523_-64.6875,0.01694915254237288,59,19,46.226444095373154,2.0,2.9152542372881354,0.686046511627907,2.0,1.5593220338983051,1.2826086956521738,0.05084745762711865,0.3333333333333333,0.05084745762711865,0.0,-21.711889554382523,-64.6875,True,19.666666666666664,0.0
