station,extreme_pp_rate,days_total,days_with_pp,extreme_pp_value,avg_increasing_chain_length_for_extremes,avg_increasing_chain_length,avg_increasing_chain_length_for_extremes_norm,avg_high_t_chain_length_for_extremes,avg_high_t_chain_length,avg_high_t_chain_length_for_extremes_norm,large_jump_pos,large_jump_pos_extreme_pp_rate,large_jump_neg,large_jump_neg_extreme_pp_rate,lat,lon,is_land,large_jump_pos_extreme_pp_rate_norm,large_jump_neg_extreme_pp_rate_norm
-20.311123512940057_-52.03125,0.005434782608695652,184,5,10.794452112168074,1.0,3.114130434782609,0.32111692844677137,1.0,1.7282608695652173,0.5786163522012578,0.04891304347826087,0.0,0.05434782608695652,0.1,-20.311123512940057,-52.03125,True,0.0,18.400000000000002
-20.311123512940057_-53.4375,0.005434782608695652,184,9,9.548514266498387,1.0,3.2282608695652173,0.3097643097643098,1.0,1.8532608695652173,0.5395894428152493,0.03804347826086957,0.0,0.06521739130434782,0.08333333333333333,-20.311123512940057,-53.4375,True,0.0,15.333333333333332
-20.311123512940057_-54.84375,0.005434782608695652,184,8,12.203616416081786,4.0,3.1956521739130435,1.251700680272109,1.0,1.858695652173913,0.5380116959064327,0.02717391304347826,0.0,0.07608695652173914,0.0,-20.311123512940057,-54.84375,True,0.0,0.0
-20.311123512940057_-56.25,0.005434782608695652,184,8,13.166884426027536,4.0,3.3043478260869565,1.2105263157894737,1.0,1.6141304347826086,0.6195286195286196,0.03804347826086957,0.0,0.06521739130434782,0.0,-20.311123512940057,-56.25,True,0.0,0.0
-20.311123512940057_-57.65625,0.005434782608695652,184,6,9.76812809240073,5.0,3.005434782608696,1.663652802893309,1.0,1.641304347826087,0.609271523178808,0.03260869565217391,0.0,0.07065217391304347,0.0,-20.311123512940057,-57.65625,True,0.0,0.0
-20.311123512940057_-59.0625,0.005434782608695652,184,7,11.807756312191486,5.0,3.0,1.6666666666666667,1.0,1.6304347826086956,0.6133333333333334,0.043478260869565216,0.0,0.059782608695652176,0.0,-20.311123512940057,-59.0625,True,0.0,0.0
-20.311123512940057_-60.46875,0.005434782608695652,184,6,4.7973886714316905,5.0,2.983695652173913,1.6757741347905282,2.0,1.6032608695652173,1.2474576271186442,0.03804347826086957,0.0,0.06521739130434782,0.0,-20.311123512940057,-60.46875,True,0.0,0.0
-20.311123512940057_-61.875,0.005434782608695652,184,10,5.219262954778969,4.0,2.9565217391304346,1.3529411764705883,1.0,1.5923913043478262,0.6279863481228669,0.03804347826086957,0.0,0.059782608695652176,0.0,-20.311123512940057,-61.875,True,0.0,0.0
-20.311123512940057_-63.28125,0.005434782608695652,184,12,37.8344533033669,3.0,2.717391304347826,1.1039999999999999,1.0,1.576086956521739,0.6344827586206897,0.02717391304347826,0.0,0.07065217391304347,0.0,-20.311123512940057,-63.28125,True,0.0,0.0
-20.311123512940057_-64.6875,0.010869565217391304,184,27,20.39386946707964,3.5,2.625,1.3333333333333333,1.0,1.733695652173913,0.5768025078369906,0.043478260869565216,0.0,0.059782608695652176,0.0,-20.311123512940057,-64.6875,True,0.0,0.0
-20.311123512940057_-66.09375,0.005434782608695652,184,2,1.2950966862263158,2.0,2.7010869565217392,0.7404426559356136,2.0,1.5434782608695652,1.295774647887324,0.043478260869565216,0.0,0.06521739130434782,0.0,-20.311123512940057,-66.09375,True,0.0,0.0
-20.311123512940057_-75.9375,0.005434782608695652,184,1,3.995262226089835,4.0,4.880434782608695,0.8195991091314032,1.0,2.016304347826087,0.49595687331536387,0.043478260869565216,0.0,0.059782608695652176,0.0,-20.311123512940057,-75.9375,False,0.0,0.0
-21.711889554382523_-52.03125,0.005434782608695652,184,10,16.034147841855884,3.0,3.0217391304347827,0.9928057553956834,1.0,1.8206521739130435,0.5492537313432836,0.043478260869565216,0.0,0.059782608695652176,0.0,-21.711889554382523,-52.03125,True,0.0,0.0
-21.711889554382523_-53.4375,0.005434782608695652,184,11,11.498254118487239,4.0,2.8315217391304346,1.4126679462571978,1.0,1.8206521739130435,0.5492537313432836,0.03260869565217391,0.0,0.07065217391304347,0.0,-21.711889554382523,-53.4375,True,0.0,0.0
-21.711889554382523_-54.84375,0.005434782608695652,184,10,12.84467987716198,4.0,2.9347826086956523,1.362962962962963,1.0,1.8478260869565217,0.5411764705882353,0.02717391304347826,0.0,0.07608695652173914,0.0,-21.711889554382523,-54.84375,True,0.0,0.0
-21.711889554382523_-56.25,0.005434782608695652,184,13,17.945254454389215,4.0,3.358695652173913,1.190938511326861,1.0,1.8043478260869565,0.5542168674698795,0.043478260869565216,0.0,0.059782608695652176,0.0,-21.711889554382523,-56.25,True,0.0,0.0
-21.711889554382523_-57.65625,0.005434782608695652,184,7,17.55558019503951,4.0,3.108695652173913,1.2867132867132867,1.0,1.7445652173913044,0.573208722741433,0.02717391304347826,0.0,0.07608695652173914,0.0,-21.711889554382523,-57.65625,True,0.0,0.0
-21.711889554382523_-59.0625,0.005434782608695652,184,10,22.114484757184982,4.0,2.880434782608696,1.3886792452830188,1.0,1.6195652173913044,0.6174496644295302,0.03804347826086957,0.0,0.06521739130434782,0.0,-21.711889554382523,-59.0625,True,0.0,0.0
-21.711889554382523_-60.46875,0.005434782608695652,184,8,13.538773125037551,4.0,2.6739130434782608,1.4959349593495936,3.0,1.5543478260869565,1.93006993006993,0.043478260869565216,0.0,0.059782608695652176,0.0,-21.711889554382523,-60.46875,True,0.0,0.0
-21.711889554382523_-61.875,0.005434782608695652,184,6,12.180208275094628,3.0,2.8532608695652173,1.0514285714285714,2.0,1.559782608695652,1.2822299651567945,0.03804347826086957,0.0,0.059782608695652176,0.0,-21.711889554382523,-61.875,True,0.0,0.0
-21.711889554382523_-63.28125,0.010869565217391304,184,21,10.751030500978231,2.0,2.782608695652174,0.71875,1.5,1.483695652173913,1.010989010989011,0.03260869565217391,0.0,0.06521739130434782,0.08333333333333333,-21.711889554382523,-63.28125,True,0.0,7.666666666666666
