station,extreme_pp_rate,days_total,days_with_pp,extreme_pp_value,avg_increasing_chain_length_for_extremes,avg_increasing_chain_length,avg_increasing_chain_length_for_extremes_norm,avg_high_t_chain_length_for_extremes,avg_high_t_chain_length,avg_high_t_chain_length_for_extremes_norm,large_jump_pos,large_jump_pos_extreme_pp_rate,large_jump_neg,large_jump_neg_extreme_pp_rate,lat,lon,is_land,large_jump_pos_extreme_pp_rate_norm,large_jump_neg_extreme_pp_rate_norm
-20.92957425448953_-53.4375,0.015940488841657812,941,266,303.6733682616614,3.2,2.8746014877789587,1.1131977818853973,1.7333333333333334,1.4962805526036131,1.1584280303030303,0.06588735387885228,0.08064516129032258,0.044633368756641874,0.0,-20.92957425448953,-53.4375,True,5.059139784946236,0.0
-20.92957425448953_-56.25,0.015670910871694418,1021,292,220.67617248685565,2.75,2.843290891283056,0.9671891147089218,2.6875,1.496571988246817,1.795770615183246,0.07149853085210578,0.0273972602739726,0.04995102840352596,0.0,-20.92957425448953,-56.25,True,1.7482876712328765,0.0
-20.92957425448953_-59.0625,0.016472868217054265,1032,326,215.8200520032551,2.9411764705882355,2.4864341085271318,1.182889367750218,2.0,1.4544573643410852,1.3750832778147901,0.07655038759689922,0.012658227848101266,0.04844961240310078,0.02,-20.92957425448953,-59.0625,True,0.7684288905435591,1.2141176470588235
-20.92957425448953_-61.875,0.013408973697782363,1939,500,143.7305225757882,2.4615384615384617,2.770500257864879,0.8884815854287187,1.6538461538461537,1.5729757607013926,1.0514123581336694,0.07065497679216091,0.014598540145985401,0.058793192367199584,0.0,-20.92957425448953,-61.875,True,1.0887142055025265,0.0
-20.92957425448953_-64.6875,0.01747311827956989,744,243,870.9070226439508,2.769230769230769,2.6169354838709675,1.0581960412468887,1.6153846153846154,1.5201612903225807,1.0626402774943888,0.08870967741935484,0.030303030303030304,0.036290322580645164,0.0,-20.92957425448953,-64.6875,True,1.7342657342657344,0.0
-20.92957425448953_-67.5,0.01798941798941799,945,324,461.8073717923835,2.2941176470588234,2.439153439153439,0.9405384713538344,1.411764705882353,1.5185185185185186,0.9296987087517934,0.061375661375661375,0.0,0.039153439153439155,0.0,-20.92957425448953,-67.5,True,0.0,0.0
-20.92957425448953_-70.3125,0.002635046113306983,3036,146,15.084391564596444,1.75,2.6656785243741767,0.6564932657852465,1.0,1.6594202898550725,0.6026200873362445,0.04710144927536232,0.013986013986013986,0.04743083003952569,0.006944444444444444,-20.92957425448953,-70.3125,False,5.3076923076923075,2.6354166666666665
-20.92957425448953_-73.125,0.004008016032064128,2994,227,8.527611033059657,4.333333333333333,5.46559786239145,0.7928379369347347,1.5,1.8734134936539746,0.8006774826172224,0.03807615230460922,0.0,0.06012024048096192,0.005555555555555556,-20.92957425448953,-73.125,False,0.0,1.3861111111111113
-20.92957425448953_-75.9375,0.003966942148760331,3025,226,7.636078624636866,6.5,6.5117355371900825,0.9981977865773175,2.4166666666666665,2.0631404958677684,1.1713534155851093,0.035041322314049585,0.03773584905660377,0.060826446280991736,0.0,-20.92957425448953,-75.9375,False,9.5125786163522,0.0
-23.72017393353477_-53.4375,0.013377926421404682,1495,371,155.487898044521,2.7,2.818060200668896,0.9581058628056018,1.7,1.674247491638796,1.0153815421494208,0.06421404682274247,0.052083333333333336,0.04548494983277592,0.014705882352941176,-23.72017393353477,-53.4375,True,3.893229166666667,1.099264705882353
-23.72017393353477_-56.25,0.012202954399486191,1557,384,136.4596419269219,3.263157894736842,2.872190109184329,1.13612183410225,1.631578947368421,1.5491329479768785,1.0532207384131973,0.06422607578676943,0.02,0.054592164418754016,0.0,-23.72017393353477,-56.25,True,1.6389473684210527,0.0
-23.72017393353477_-59.0625,0.016116653875671526,1303,401,166.97972853435203,3.1904761904761907,2.56792018419033,1.2424358864884866,2.2857142857142856,1.3914044512663086,1.6427389488613977,0.07521105141980046,0.02040816326530612,0.056024558710667687,0.0,-23.72017393353477,-59.0625,True,1.2662779397473274,0.0
-23.72017393353477_-61.875,0.011306532663316583,2388,519,95.52359799854457,2.7777777777777777,2.6176716917922946,1.0611635471657868,1.7407407407407407,1.6515912897822445,1.0539779130042821,0.062395309882747066,0.026845637583892617,0.06197654941373534,0.006756756756756757,-23.72017393353477,-61.875,True,2.37434750186428,0.5975975975975976
-23.72017393353477_-64.6875,0.015789473684210527,1330,397,418.7150431185728,2.5238095238095237,2.5278195488721806,0.998413642673012,1.4761904761904763,1.5481203007518798,0.9535373158491177,0.07142857142857142,0.010526315789473684,0.041353383458646614,0.01818181818181818,-23.72017393353477,-64.6875,True,0.6666666666666666,1.1515151515151514
-23.72017393353477_-67.5,0.012828344532681736,1637,395,198.20960937067866,2.2857142857142856,2.8008552229688455,0.8160772706028976,1.9047619047619047,1.7727550397067806,1.0744642446916741,0.05925473427000611,0.041237113402061855,0.03604153940134392,0.0,-23.72017393353477,-67.5,True,3.2145311732940596,0.0
-23.72017393353477_-70.3125,0.0006381620931716656,3134,27,11.841385555453598,2.5,2.836311423101468,0.8814264821689729,1.0,1.6442246330567964,0.6081894042305453,0.04977664326738992,0.0,0.04977664326738992,0.00641025641025641,-23.72017393353477,-70.3125,True,0.0,10.044871794871794
-23.72017393353477_-73.125,0.0016,3125,86,3.889975883066654,5.8,5.5488,1.0452710495963091,2.2,1.92608,1.1422163150024922,0.04672,0.0,0.05312,0.0,-23.72017393353477,-73.125,False,0.0,0.0
