station,extreme_pp_rate,days_total,days_with_pp,extreme_pp_value,avg_increasing_chain_length_for_extremes,avg_increasing_chain_length,avg_increasing_chain_length_for_extremes_norm,avg_high_t_chain_length_for_extremes,avg_high_t_chain_length,avg_high_t_chain_length_for_extremes_norm,large_jump_pos,large_jump_pos_extreme_pp_rate,large_jump_neg,large_jump_neg_extreme_pp_rate,lat,lon,is_land,large_jump_pos_extreme_pp_rate_norm,large_jump_neg_extreme_pp_rate_norm
-20.92957425448953_-53.4375,0.002546148949713558,3142,143,31.25031078234315,2.5,3.1037555697008274,0.8054757998359311,1.75,1.8593252705283259,0.9412016432728518,0.04551241247612985,0.006993006993006993,0.05346912794398472,0.0,-20.92957425448953,-53.4375,True,2.7465034965034967,0.0
-20.92957425448953_-56.25,0.0028790786948176585,3126,174,28.87795139104128,2.6666666666666665,3.047024952015355,0.8751706036745407,1.1111111111111112,1.8490083173384517,0.6009227220299885,0.04222648752399232,0.0,0.05566218809980806,0.0,-20.92957425448953,-56.25,True,0.0,0.0
-20.92957425448953_-59.0625,0.004662004662004662,3003,261,44.378317033988424,3.4285714285714284,2.8458208458208456,1.2047741633512754,1.4285714285714286,1.7592407592407593,0.8120386144236229,0.05527805527805528,0.012048192771084338,0.04628704628704629,0.0,-20.92957425448953,-59.0625,True,2.5843373493975905,0.0
-20.92957425448953_-61.875,0.006939625260235947,2882,381,48.296881309943274,2.45,2.6665510062456628,0.91878985035784,1.3,1.652324774462179,0.7867702645947082,0.05378209576682859,0.0,0.05655794587092297,0.0,-20.92957425448953,-61.875,True,0.0,0.0
-20.92957425448953_-64.6875,0.0028735632183908046,3132,167,36.66005185805261,1.6666666666666667,2.4415708812260535,0.6826206355433504,1.0,1.6660280970625798,0.6002299731697969,0.0421455938697318,0.0,0.0491698595146871,0.0,-20.92957425448953,-64.6875,True,0.0,0.0
-20.92957425448953_-67.5,0.0006244146113019045,3203,29,36.221236910205334,3.0,2.391507961286294,1.2544386422976501,1.0,1.732126131751483,0.57732516222062,0.05151420543240712,0.0,0.046831095847642834,0.0,-20.92957425448953,-67.5,True,0.0,0.0
-20.92957425448953_-70.3125,0.0009395552771688068,3193,53,26.700014853850007,1.0,2.736924522392734,0.3653736125414807,1.0,1.7557156279361101,0.5695683196575099,0.05355465079862198,0.0,0.0416536172878171,0.0,-20.92957425448953,-70.3125,False,0.0,0.0
-20.92957425448953_-73.125,0.0006222775357809583,3214,26,15.814950806088746,4.0,3.4396390790292473,1.1629127091813658,4.0,1.9166148102053515,2.087012987012987,0.05133789670192906,0.0,0.05009334163036715,0.0,-20.92957425448953,-73.125,False,0.0,0.0
-20.92957425448953_-75.9375,0.004218040233614536,3082,250,7.149081118404865,4.384615384615385,4.2751460090850095,1.0256059969174725,1.7692307692307692,2.0619727449707983,0.8580282031108152,0.05256327060350422,0.0,0.04477611940298507,0.0,-20.92957425448953,-75.9375,False,0.0,0.0
-23.72017393353477_-53.4375,0.005326231691078562,3004,308,43.24143338017166,2.75,2.909121171770972,0.9453026662089484,1.375,1.8099201065246338,0.7597020415670407,0.04360852197070573,0.0,0.05659121171770972,0.0,-23.72017393353477,-53.4375,True,0.0,0.0
