station,extreme_pp_rate,days_total,days_with_pp,extreme_pp_value,avg_increasing_chain_length_for_extremes,avg_increasing_chain_length,avg_increasing_chain_length_for_extremes_norm,avg_high_t_chain_length_for_extremes,avg_high_t_chain_length,avg_high_t_chain_length_for_extremes_norm,large_jump_pos,large_jump_pos_extreme_pp_rate,large_jump_neg,large_jump_neg_extreme_pp_rate,lat,lon,is_land,large_jump_pos_extreme_pp_rate_norm,large_jump_neg_extreme_pp_rate_norm
-20.92957425448953_-53.4375,0.013371882905674015,2767,692,330.7137405534377,2.918918918918919,3.1662450307191903,0.9218866166703172,1.7837837837837838,1.859053126129382,0.9595120003362616,0.06758221900975786,0.016042780748663103,0.032164799421756415,0.011235955056179775,-20.92957425448953,-53.4375,True,1.1997398467986704,0.8402672335256605
-20.92957425448953_-56.25,0.014564713670969877,3021,848,213.1533871492138,3.340909090909091,3.0218470705064546,1.1055850984375468,1.4318181818181819,1.8464084740152267,0.7754612275497899,0.0638861304203906,0.010362694300518135,0.039721946375372394,0.0,-20.92957425448953,-56.25,True,0.7114931700423929,0.0
-20.92957425448953_-59.0625,0.01581325301204819,2656,801,235.48102509230375,2.9523809523809526,2.789909638554217,1.0582353319195426,1.6904761904761905,1.7804969879518073,0.9494406347863737,0.07153614457831325,0.021052631578947368,0.04781626506024096,0.015748031496062992,-20.92957425448953,-59.0625,True,1.331328320802005,0.995875515560555
-20.92957425448953_-61.875,0.0136,5000,1340,121.51249564485624,3.25,2.7362,1.1877786711497698,1.5,1.806,0.8305647840531561,0.0696,0.014367816091954023,0.0562,0.0071174377224199285,-20.92957425448953,-61.875,True,1.0564570655848546,0.5233410090014654
-20.92957425448953_-64.6875,0.0163265306122449,2205,692,693.9952817629091,2.861111111111111,2.6802721088435373,1.0674703891708968,1.5555555555555556,1.7809523809523808,0.8734402852049912,0.08163265306122448,0.011111111111111112,0.023582766439909298,0.0,-20.92957425448953,-64.6875,True,0.6805555555555555,0.0
-20.92957425448953_-67.5,0.016589861751152075,2170,706,484.5080789469648,2.4444444444444446,2.4654377880184333,0.9914849428868121,1.7777777777777777,1.6889400921658986,1.0525996665150825,0.06359447004608294,0.007246376811594203,0.03271889400921659,0.014084507042253521,-20.92957425448953,-67.5,True,0.43679549114331717,0.8489827856025038
-20.92957425448953_-70.3125,0.002835538752362949,7406,408,22.20719635952264,2.142857142857143,2.542803132595193,0.842714528462192,1.8095238095238095,1.9507156359708344,0.9276204979119079,0.04712395355117472,0.008595988538681949,0.04401836348906292,0.003067484662576687,-20.92957425448953,-70.3125,False,3.0315186246418335,1.081799591002045
-20.92957425448953_-73.125,0.004366216400600355,7329,621,9.09377901989501,5.5625,5.455723836812662,1.0195714017756659,1.28125,2.1720562150361578,0.5898788397512407,0.04448082958111611,0.0,0.05485059353254196,0.0024875621890547263,-20.92957425448953,-73.125,False,0.0,0.5697294776119403
-20.92957425448953_-75.9375,0.002514890800794176,7555,378,8.800681651337072,6.473684210526316,6.615354070152217,0.978584689780234,1.0,2.2913302448709465,0.4364277049275027,0.04169424222369292,0.006349206349206349,0.05890138980807412,0.0,-20.92957425448953,-75.9375,False,2.5246449456975775,0.0
-23.72017393353477_-53.4375,0.012023535431056536,3909,882,182.8054753364995,2.4680851063829787,2.9370683039140446,0.8403226792832561,2.021276595744681,1.8943463801483755,1.0670047552688666,0.0636991557943208,0.0321285140562249,0.04067536454336147,0.006289308176100629,-23.72017393353477,-53.4375,True,2.6721353499102793,0.5230830991569652
-23.72017393353477_-56.25,0.012898515453881723,4109,1018,135.92669307254255,3.30188679245283,2.9839376977366756,1.1065535299069145,2.188679245283019,1.8301289851545388,1.195915295062224,0.06181552689218788,0.007874015748031496,0.04989048430275006,0.0,-23.72017393353477,-56.25,True,0.6104590699747438,0.0
-23.72017393353477_-59.0625,0.014683847767455798,3337,957,196.431835682597,3.3877551020408165,2.7009289781240637,1.2542925524808837,1.7959183673469388,1.729997003296374,1.038104900716566,0.0773149535510938,0.023255813953488372,0.05244231345519928,0.011428571428571429,-23.72017393353477,-59.0625,True,1.5837683910773612,0.7783090379008747
-23.72017393353477_-61.875,0.010357500835282325,5986,1225,103.34807102917694,2.5483870967741935,2.6224523889074507,0.971757240494988,1.564516129032258,1.8603407951887738,0.8409836160548757,0.06298028733711995,0.0,0.05646508519879719,0.008875739644970414,-23.72017393353477,-61.875,True,0.0,0.8569383470127888
-23.72017393353477_-64.6875,0.014384349827387802,3476,968,491.80508834542707,2.68,2.6470080552359034,1.012463862623628,1.52,1.828826237054085,0.8311341827906246,0.06645569620253164,0.025974025974025976,0.039125431530494824,0.0,-23.72017393353477,-64.6875,True,1.8057142857142858,0.0
-23.72017393353477_-67.5,0.012743823146944083,3845,940,268.8399801874766,2.816326530612245,2.9677503250975295,0.9489769091406609,1.510204081632653,1.8397919375812744,0.8208559080969113,0.04863459037711313,0.0213903743315508,0.0377113133940182,0.006896551724137931,-23.72017393353477,-67.5,True,1.6784895776492414,0.5411681914144968
-23.72017393353477_-70.3125,0.0007792207792207792,7700,115,20.695623010396957,2.0,2.710909090909091,0.7377598926894702,1.0,2.0184415584415585,0.49543173336764895,0.04766233766233766,0.0027247956403269754,0.05181818181818182,0.002506265664160401,-23.72017393353477,-70.3125,True,3.4968210717529518,3.216374269005848
-23.72017393353477_-73.125,0.0016938110749185667,7675,246,5.208510413649492,5.076923076923077,5.653680781758958,0.897985449285228,2.4615384615384617,2.19114006514658,1.1234053453236423,0.048859934853420196,0.0,0.051596091205211726,0.0025252525252525255,-23.72017393353477,-73.125,False,0.0,1.490870240870241
-23.72017393353477_-75.9375,0.0007767995857068876,7724,105,3.2250701246084645,6.333333333333333,6.395908855515277,0.9902163205268343,2.1666666666666665,2.2629466597617816,0.9574537063523847,0.04505437597099948,0.0028735632183908046,0.056188503366131536,0.0,-23.72017393353477,-75.9375,False,3.6992337164750957,0.0
-26.510769325211022_-53.4375,0.013202112337974076,4166,1053,127.0108088676352,3.0,2.8041286605856937,1.0698510529019003,2.327272727272727,1.783965434469515,1.3045503473921127,0.060969755160825735,0.011811023622047244,0.04656745079212674,0.005154639175257732,-26.510769325211022,-53.4375,True,0.8946313528990694,0.3904404873477038
-26.510769325211022_-56.25,0.011505092417955488,5302,1187,81.09291535802186,3.0,2.8772161448509994,1.0426745329400198,1.8524590163934427,1.8736325914749152,0.9886991851135527,0.04979253112033195,0.007575757575757576,0.06167483968313844,0.012232415902140673,-26.510769325211022,-56.25,True,0.6584699453551913,1.0632175264450796
-26.510769325211022_-59.0625,0.013422818791946308,4321,1139,133.67262538522482,3.086206896551724,2.634343901874566,1.1715277167706228,1.6551724137931034,1.736866466095811,0.952964690206529,0.0722055079842629,0.028846153846153848,0.05808840546169868,0.0,-26.510769325211022,-59.0625,True,2.1490384615384617,0.0
-26.510769325211022_-61.875,0.010780287474332649,5844,1234,117.78623750433326,2.634920634920635,2.5953114305270364,1.0152618309801669,1.3968253968253967,1.8576317590691307,0.7519388005754991,0.060061601642710474,0.011396011396011397,0.0650239561943874,0.005263157894736842,-26.510769325211022,-61.875,True,1.0571157237823905,0.4882205513784461
-26.510769325211022_-64.6875,0.013783903957314362,4498,1211,307.3462734930217,3.096774193548387,2.6153846153846154,1.1840607210626186,1.5161290322580645,1.8076923076923077,0.8387096774193549,0.0706980880391285,0.0220125786163522,0.05935971542907959,0.0,-26.510769325211022,-64.6875,True,1.5969770744572935,0.0
-26.510769325211022_-67.5,0.008922198429693077,5604,986,143.3521038503386,2.74,2.9370092790863667,0.9329218056990098,1.64,1.864561027837259,0.8795635946023542,0.04621698786581013,0.015444015444015444,0.04354032833690221,0.00819672131147541,-26.510769325211022,-67.5,True,1.730965250965251,0.9186885245901639
-26.510769325211022_-70.3125,0.00038870173620108835,7718,44,15.309124428313226,3.0,2.4004923555325215,1.2497436174232202,1.6666666666666667,1.9507644467478622,0.8543659227771874,0.045996372117128786,0.0,0.05299300336874838,0.0024449877750611247,-26.510769325211022,-70.3125,True,0.0,6.290138549307254
-26.510769325211022_-73.125,0.0006481721545242416,7714,85,4.492378287250176,5.4,5.425978739953331,0.9952121559633029,4.0,2.1936738397718436,1.8234251270535395,0.052372310085558725,0.0,0.04809437386569873,0.0026954177897574125,-26.510769325211022,-73.125,False,0.0,4.158490566037736
-26.510769325211022_-75.9375,0.0018269607203445126,7663,277,3.3114730613306165,6.428571428571429,6.493148897298708,0.9900545221203622,1.5,2.285919352733916,0.6561911286179141,0.03980164426464831,0.006557377049180328,0.0596372177998173,0.0,-26.510769325211022,-75.9375,False,3.5892271662763466,0.0
-29.301359621762764_-53.4375,0.012973425402803935,4779,1204,114.29835047456436,2.774193548387097,2.6635279347143754,1.0415485087392518,1.6290322580645162,1.6917765222849968,0.9629122030043691,0.046871730487549695,0.022321428571428572,0.0709353421217828,0.008849557522123894,-29.301359621762764,-53.4375,True,1.7205501152073732,0.6821296031972595
-29.301359621762764_-56.25,0.011500353857041755,5652,1270,91.9043640838936,2.5846153846153848,2.7245222929936306,0.9486490131726836,1.6307692307692307,1.8016631280962492,0.9051465866942642,0.04600141542816702,0.023076923076923078,0.06794055201698514,0.010416666666666666,-29.301359621762764,-56.25,True,2.0066272189349115,0.9057692307692308
-29.301359621762764_-59.0625,0.013098649201801064,4886,1248,136.26070698956028,2.671875,2.632828489562014,1.0148306319962686,2.09375,1.7185837085550553,1.2182996903656067,0.06037658616455178,0.023728813559322035,0.06099058534588621,0.003355704697986577,-29.301359621762764,-59.0625,True,1.8115466101694917,0.25618708053691275
-29.301359621762764_-61.875,0.011558605743182229,5537,1254,139.08448404399678,2.71875,2.6487267473361027,1.026436570980499,1.734375,1.7516705797363192,0.9901262372409527,0.061946902654867256,0.043731778425655975,0.06917103124435615,0.005221932114882507,-29.301359621762764,-61.875,True,3.783482142857143,0.4517787206266318
-29.301359621762764_-64.6875,0.012005017022039061,5581,1310,164.27089534699917,2.8059701492537314,2.510302813115929,1.117781541968956,1.7462686567164178,1.7134922056979036,1.0191284506048655,0.05930836767604372,0.01812688821752266,0.07167174341515857,0.005,-29.301359621762764,-64.6875,True,1.5099427334625966,0.41649253731343283
-29.301359621762764_-67.5,0.00768748038908064,6374,961,82.58336065337062,3.142857142857143,2.6327267022278003,1.193765057420382,1.8979591836734695,1.9080640100407906,0.9947041470757026,0.04769375588327581,0.003289473684210526,0.04565422026984625,0.003436426116838488,-29.301359621762764,-67.5,True,0.42790010741138557,0.44701591976996985
-29.301359621762764_-70.3125,0.0005192107995846313,7704,74,17.383192211855203,2.5,2.259735202492212,1.1063243150094777,1.0,1.916796469366563,0.521703799011309,0.049454828660436136,0.0,0.04867601246105919,0.0026666666666666666,-29.301359621762764,-70.3125,True,0.0,5.136
-29.301359621762764_-73.125,0.0007798284377436964,7694,117,9.771375660784543,5.5,4.969976605146868,1.1066450482491696,3.3333333333333335,2.217702105536782,1.5030572974662524,0.05380816220431505,0.0024154589371980675,0.0469196776709124,0.0,-29.301359621762764,-73.125,False,3.0974235104669883,0.0
-29.301359621762764_-75.9375,0.0014330380406461698,7676,217,3.173501224955544,6.818181818181818,6.301719645648776,1.0819557520128098,2.3636363636363638,2.281657113079729,1.0359296978002013,0.03543512245961438,0.003676470588235294,0.06448671182907764,0.00202020202020202,-29.301359621762764,-75.9375,False,2.5655080213903743,1.4097337006427917
-32.091943881744044_-53.4375,0.010869565217391304,5980,1285,115.19062161678448,3.0153846153846153,2.6438127090301005,1.1405439595192914,1.9538461538461538,1.6839464882943145,1.1602780536246275,0.042976588628762545,0.023346303501945526,0.06822742474916388,0.007352941176470588,-32.091943881744044,-53.4375,True,2.1478599221789882,0.6764705882352942
-32.091943881744044_-56.25,0.011269070735090153,5768,1281,127.2669972066069,3.4,2.66123439667129,1.2776026058631922,2.123076923076923,1.6584604715672677,1.280149246530179,0.04247572815533981,0.036734693877551024,0.06952149791955617,0.004987531172069825,-32.091943881744044,-56.25,True,3.25978021978022,0.4425858430845962
-32.091943881744044_-59.0625,0.012006549026741859,5497,1294,131.7957722581923,2.727272727272727,2.591959250500273,1.052205094175897,2.0,1.6610878661087867,1.2040302267002518,0.05075495724940877,0.014336917562724014,0.06512643259959978,0.0,-32.091943881744044,-59.0625,True,1.1940914521559682,0.0
-32.091943881744044_-61.875,0.010566286940729735,6057,1251,112.97963481629267,2.75,2.588410104011887,1.0624282433983927,2.109375,1.7019976886247317,1.2393524468910662,0.04210004952947004,0.011764705882352941,0.07330361565131253,0.01126126126126126,-32.091943881744044,-61.875,True,1.1134191176470587,1.065772804054054
-32.091943881744044_-64.6875,0.009073543457497613,6282,1125,98.909156920854,3.3508771929824563,2.396848137535817,1.398034836044085,1.9824561403508771,1.6730340655842089,1.1849466673343683,0.04250238777459408,0.018726591760299626,0.06813116841770137,0.002336448598130841,-32.091943881744044,-64.6875,True,2.063867534003548,0.25750122970978845
-32.091943881744044_-67.5,0.007348242811501597,6260,884,59.20097185880877,2.4347826086956523,2.244249201277955,1.0848985073980202,1.434782608695652,1.73370607028754,0.8275812338003116,0.04712460063897764,0.006779661016949152,0.05,0.006389776357827476,-32.091943881744044,-67.5,True,0.922623434045689,0.8695652173913043
-32.091943881744044_-70.3125,0.0015808193913845344,7591,239,12.095839704852551,1.6666666666666667,2.047161111842972,0.8141355641355642,2.0,1.804900540113292,1.1080942996861542,0.05203530496640759,0.0,0.0470293768936899,0.0,-32.091943881744044,-70.3125,True,0.0,0.0
-32.091943881744044_-73.125,0.0007787151200519143,7705,107,8.697866031434387,3.0,2.754445165476963,1.089148565235829,1.0,1.9034393251135626,0.525364789308605,0.056716417910447764,0.0,0.04399740428293316,0.0,-32.091943881744044,-73.125,False,0.0,0.0
-32.091943881744044_-75.9375,0.001957713390759593,7662,285,3.5534909286070615,5.4,5.6023231532237014,0.9638858474082703,3.8666666666666667,2.2003393369877315,1.7573047037190819,0.037588097102584185,0.0,0.06186374314800313,0.004219409282700422,-32.091943881744044,-75.9375,False,0.0,2.1552742616033753
-34.8825209937735_-53.4375,0.009794776119402986,6432,1248,121.44956127740443,2.8412698412698414,2.906094527363184,0.9776935383612037,2.6984126984126986,1.7185945273631842,1.5701275987145356,0.04306592039800995,0.021660649819494584,0.06374378109452736,0.01951219512195122,-34.8825209937735,-53.4375,False,2.2114492006188753,1.992102206736353
-34.8825209937735_-56.25,0.010089862840927007,6343,1272,118.4396902564913,3.234375,2.6350307425508435,1.227452472478162,2.1875,1.6041305376005044,1.3636670761670762,0.03909821850859215,0.024193548387096774,0.0752010089862841,0.010482180293501049,-34.8825209937735,-56.25,True,2.397807459677419,1.0388823375262055
-34.8825209937735_-59.0625,0.010714285714285714,6160,1305,112.82735538552515,3.106060606060606,2.443831168831169,1.2709800274567113,2.0757575757575757,1.6003246753246754,1.2970852776087103,0.03766233766233766,0.01293103448275862,0.07142857142857142,0.004545454545454545,-34.8825209937735,-59.0625,True,1.206896551724138,0.4242424242424242
-34.8825209937735_-61.875,0.009943181818181818,6336,1239,98.30796355381608,2.5238095238095237,2.3519570707070705,1.0730678528289588,2.3333333333333335,1.6715593434343434,1.3959021810971581,0.043560606060606064,0.014492753623188406,0.06328914141414141,0.0024937655860349127,-34.8825209937735,-61.875,True,1.4575569358178053,0.25080156750979693
