station,extreme_pp_rate,days_total,days_with_pp,extreme_pp_value,avg_increasing_chain_length_for_extremes,avg_increasing_chain_length,avg_increasing_chain_length_for_extremes_norm,avg_high_t_chain_length_for_extremes,avg_high_t_chain_length,avg_high_t_chain_length_for_extremes_norm,large_jump_pos,large_jump_pos_extreme_pp_rate,large_jump_neg,large_jump_neg_extreme_pp_rate,lat,lon,is_land,large_jump_pos_extreme_pp_rate_norm,large_jump_neg_extreme_pp_rate_norm
-20.25_-52.0,0.042492917847025496,353,285,19.614864187315106,2.1333333333333333,3.546742209631728,0.6014909478168264,1.2666666666666666,1.8640226628895185,0.6795339412360688,0.04815864022662889,0.0,0.053824362606232294,0.15789473684210525,-20.25,-52.0,True,0.0,3.71578947368421
-20.25_-54.0,0.0453257790368272,353,295,18.617030885070562,1.8125,3.2322946175637393,0.5607471516213848,1.375,1.801699716713881,0.7631682389937107,0.042492917847025496,0.06666666666666667,0.059490084985835696,0.19047619047619047,-20.25,-54.0,True,1.4708333333333332,4.202380952380952
-20.25_-56.0,0.0453257790368272,353,299,15.750890225172043,2.3125,3.2039660056657224,0.721761715296198,1.375,1.8300283286118981,0.7513544891640866,0.039660056657223795,0.0,0.06232294617563739,0.13636363636363635,-20.25,-56.0,True,0.0,3.008522727272727
-20.25_-58.0,0.039660056657223795,353,267,15.500611206516623,1.8571428571428572,3.090651558073654,0.6008904019903104,1.5,1.8073654390934843,0.8299373040752351,0.039660056657223795,0.07142857142857142,0.06232294617563739,0.13636363636363635,-20.25,-58.0,True,1.8010204081632653,3.438311688311688
-20.25_-60.0,0.031161473087818695,353,205,13.717526430264115,2.0,3.0651558073654392,0.6524953789279112,2.090909090909091,1.9858356940509916,1.0529114252366747,0.036827195467422094,0.0,0.06515580736543909,0.13043478260869565,-20.25,-60.0,True,0.0,4.1857707509881426
-20.25_-62.0,0.0226628895184136,353,147,13.3799540810287,1.625,3.356940509915014,0.48407172995780595,1.75,1.9886685552407932,0.8799857549857549,0.031161473087818695,0.0,0.0708215297450425,0.08,-20.25,-62.0,True,0.0,3.53
-20.25_-64.0,0.0339943342776204,353,234,15.550954174250364,1.4166666666666667,3.087818696883853,0.45879204892966363,1.0,1.9575070821529745,0.5108538350217077,0.025495750708215296,0.0,0.07365439093484419,0.07692307692307693,-20.25,-64.0,True,0.0,2.2628205128205128
-20.25_-66.0,0.0453257790368272,353,300,22.6052887737751,1.6875,2.9348441926345608,0.5749879343629344,1.375,1.708215297450425,0.8049336650082919,0.039660056657223795,0.07142857142857142,0.059490084985835696,0.14285714285714285,-20.25,-66.0,True,1.575892857142857,3.151785714285714
-20.25_-68.0,0.042492917847025496,353,276,33.58850972726941,2.4,4.028328611898017,0.5957805907172996,1.4,1.9291784702549575,0.7256975036710719,0.05099150141643059,0.0,0.04815864022662889,0.11764705882352941,-20.25,-68.0,True,0.0,2.768627450980392
-20.25_-70.0,0.0226628895184136,353,138,7.773080701008439,1.75,3.7308781869688383,0.4690584662110858,1.0,1.9943342776203965,0.5014204545454546,0.05099150141643059,0.0,0.053824362606232294,0.3157894736842105,-20.25,-70.0,True,0.0,13.934210526315788
