station,extreme_pp_rate,days_total,days_with_pp,extreme_pp_value,avg_increasing_chain_length_for_extremes,avg_increasing_chain_length,avg_increasing_chain_length_for_extremes_norm,avg_high_t_chain_length_for_extremes,avg_high_t_chain_length,avg_high_t_chain_length_for_extremes_norm,large_jump_pos,large_jump_pos_extreme_pp_rate,large_jump_neg,large_jump_neg_extreme_pp_rate,lat,lon,is_land,large_jump_pos_extreme_pp_rate_norm,large_jump_neg_extreme_pp_rate_norm
-20.25_-52.0,0.0056022408963585435,357,23,5.590455117635429,3.0,3.4593837535014007,0.8672064777327935,1.0,1.9663865546218486,0.5085470085470086,0.04481792717086835,0.0,0.056022408963585436,0.0,-20.25,-52.0,True,0.0,0.0
-20.25_-54.0,0.005649717514124294,354,24,6.8519242107868195,4.5,3.4604519774011298,1.3004081632653062,1.0,2.0451977401129944,0.4889502762430939,0.03389830508474576,0.0,0.06497175141242938,0.0,-20.25,-54.0,True,0.0,0.0
-20.25_-56.0,0.005649717514124294,354,21,18.964122142642736,4.0,3.426553672316384,1.1673536685902721,1.0,1.9548022598870056,0.5115606936416185,0.03954802259887006,0.07142857142857142,0.06497175141242938,0.0,-20.25,-56.0,True,12.642857142857142,0.0
-20.25_-58.0,0.0028011204481792717,357,20,13.382650958374143,6.0,3.2717086834733893,1.8339041095890412,2.0,1.6330532212885154,1.2246998284734134,0.022408963585434174,0.0,0.08683473389355742,0.0,-20.25,-58.0,True,0.0,0.0
-20.25_-60.0,0.002793296089385475,358,15,24.78634212166071,2.0,2.941340782122905,0.6799620132953467,1.0,1.6201117318435754,0.6172413793103448,0.01675977653631285,0.0,0.08379888268156424,0.0,-20.25,-60.0,True,0.0,0.0
-20.25_-62.0,0.0027397260273972603,365,12,16.658754693344235,2.0,2.9315068493150687,0.6822429906542056,1.0,1.6273972602739726,0.6144781144781145,0.01643835616438356,0.0,0.0821917808219178,0.0,-20.25,-62.0,True,0.0,0.0
-20.25_-64.0,0.0027548209366391185,363,18,11.418510787189007,2.0,2.8181818181818183,0.7096774193548386,2.0,1.5922865013774106,1.2560553633217992,0.008264462809917356,0.0,0.0881542699724518,0.0,-20.25,-64.0,True,0.0,0.0
-20.25_-66.0,0.0027624309392265192,362,8,8.012787834741175,2.0,2.787292817679558,0.7175421209117938,1.0,1.6132596685082874,0.6198630136986301,0.03038674033149171,0.0,0.0718232044198895,0.0,-20.25,-66.0,True,0.0,0.0
-20.25_-68.0,0.0027472527472527475,364,6,3.603912319522351,7.0,3.3076923076923075,2.116279069767442,1.0,1.771978021978022,0.5643410852713179,0.04395604395604396,0.0,0.057692307692307696,0.0,-20.25,-68.0,True,0.0,0.0
-20.25_-70.0,0.00273224043715847,366,6,2.7995252748951316,1.0,3.0765027322404372,0.325044404973357,1.0,1.7021857923497268,0.5874799357945425,0.04644808743169399,0.0,0.0546448087431694,0.05,-20.25,-70.0,True,0.0,18.3
-20.25_-72.0,0.0027397260273972603,365,6,9.908206039108336,1.0,4.1287671232876715,0.2422030524220305,1.0,1.906849315068493,0.5244252873563219,0.049315068493150684,0.0,0.057534246575342465,0.047619047619047616,-20.25,-72.0,False,0.0,17.38095238095238
-20.25_-74.0,0.005970149253731343,335,35,4.387269064318389,4.0,4.214925373134329,0.9490084985835693,7.0,2.056716417910448,3.4034833091436862,0.056716417910447764,0.0,0.04477611940298507,0.0,-20.25,-74.0,False,0.0,0.0
-20.25_-76.0,0.005571030640668524,359,22,3.2439423725008965,1.0,3.348189415041783,0.29866888519134777,1.0,1.9972144846796658,0.500697350069735,0.052924791086350974,0.0,0.04735376044568245,0.058823529411764705,-20.25,-76.0,False,0.0,10.558823529411764
-21.75_-52.0,0.005571030640668524,359,20,7.496677176095545,5.0,3.518105849582173,1.4212193190815519,2.0,1.9777158774373258,1.0112676056338028,0.03064066852367688,0.0,0.06685236768802229,0.0,-21.75,-52.0,True,0.0,0.0
-21.75_-54.0,0.005633802816901409,355,20,6.936117704026401,4.5,3.546478873239437,1.2688641779189833,1.0,1.963380281690141,0.509325681492109,0.036619718309859155,0.0,0.0647887323943662,0.0,-21.75,-54.0,True,0.0,0.0
-21.75_-56.0,0.005649717514124294,354,21,7.633323362097144,3.5,3.4491525423728815,1.0147420147420148,1.0,1.8135593220338984,0.5514018691588785,0.02824858757062147,0.1,0.07627118644067797,0.0,-21.75,-56.0,True,17.7,0.0
-21.75_-58.0,0.002840909090909091,352,14,15.959912678226829,7.0,3.125,2.24,4.0,1.6448863636363635,2.4317789291882557,0.019886363636363636,0.0,0.07670454545454546,0.0,-21.75,-58.0,True,0.0,0.0
-21.75_-60.0,0.002777777777777778,360,17,18.885081633925438,7.0,2.933333333333333,2.3863636363636367,4.0,1.6,2.5,0.011111111111111112,0.0,0.08611111111111111,0.0,-21.75,-60.0,True,0.0,0.0
-21.75_-62.0,0.0027397260273972603,365,14,6.076984363608062,1.0,2.791780821917808,0.35819430814524045,4.0,1.5835616438356164,2.5259515570934257,0.0136986301369863,0.0,0.08493150684931507,0.0,-21.75,-62.0,True,0.0,0.0
-21.75_-64.0,0.0027624309392265192,362,9,6.488322908990085,2.0,2.7209944751381214,0.7350253807106599,1.0,1.569060773480663,0.6373239436619719,0.016574585635359115,0.0,0.0856353591160221,0.0,-21.75,-64.0,True,0.0,0.0
-21.75_-66.0,0.00273224043715847,366,6,9.180179284885526,1.0,2.639344262295082,0.37888198757763975,1.0,1.6284153005464481,0.6140939597315436,0.0273224043715847,0.0,0.07923497267759563,0.034482758620689655,-21.75,-66.0,True,0.0,12.620689655172413
-21.75_-68.0,0.0027472527472527475,364,7,3.864326316397637,2.0,3.0137362637362637,0.6636280765724704,1.0,1.739010989010989,0.5750394944707741,0.04395604395604396,0.0,0.06043956043956044,0.0,-21.75,-68.0,True,0.0,0.0
-21.75_-70.0,0.0027397260273972603,365,6,8.232548763044178,1.0,2.6684931506849314,0.3747433264887064,1.0,1.5945205479452054,0.627147766323024,0.052054794520547946,0.0,0.049315068493150684,0.05555555555555555,-21.75,-70.0,True,0.0,20.277777777777775
-21.75_-72.0,0.0027397260273972603,365,4,6.356477667577565,1.0,3.9452054794520546,0.2534722222222222,1.0,1.7561643835616438,0.5694227769110765,0.04657534246575343,0.0,0.06027397260273973,0.045454545454545456,-21.75,-72.0,False,0.0,16.59090909090909
-21.75_-74.0,0.00554016620498615,361,21,3.5422478104010224,3.0,3.8365650969529086,0.7819494584837545,4.0,1.886426592797784,2.120411160058737,0.055401662049861494,0.0,0.04709141274238227,0.0,-21.75,-74.0,False,0.0,0.0
-21.75_-76.0,0.0027397260273972603,365,10,2.6873725815676153,1.0,3.9534246575342467,0.25294525294525294,1.0,1.8273972602739725,0.5472263868065967,0.049315068493150684,0.0,0.057534246575342465,0.047619047619047616,-21.75,-76.0,False,0.0,17.38095238095238
-23.25_-52.0,0.005681818181818182,352,28,22.600274719297886,2.5,3.2869318181818183,0.7605877268798616,4.5,1.8948863636363635,2.3748125937031483,0.03125,0.0,0.06534090909090909,0.0,-23.25,-52.0,True,0.0,0.0
-23.25_-54.0,0.005763688760806916,347,21,17.761119967326522,1.5,3.282420749279539,0.45697980684811235,3.5,1.7694524495677233,1.978013029315961,0.03170028818443804,0.09090909090909091,0.069164265129683,0.0,-23.25,-54.0,True,15.772727272727273,0.0
-23.25_-56.0,0.002898550724637681,345,19,13.524300511926413,6.0,3.3855072463768114,1.7722602739726028,1.0,1.7391304347826086,0.5750000000000001,0.020289855072463767,0.0,0.07246376811594203,0.0,-23.25,-56.0,True,0.0,0.0
-23.25_-58.0,0.0028011204481792717,357,17,55.67204263061285,7.0,3.123249299719888,2.241255605381166,4.0,1.6638655462184875,2.404040404040404,0.014005602240896359,0.0,0.08403361344537816,0.0,-23.25,-58.0,True,0.0,0.0
-23.25_-60.0,0.002785515320334262,359,14,12.768026953563094,7.0,3.0752089136490253,2.276268115942029,4.0,1.6350974930362117,2.44633730834753,0.016713091922005572,0.0,0.08913649025069638,0.0,-23.25,-60.0,True,0.0,0.0
-23.25_-62.0,0.002785515320334262,359,10,6.058373395353556,1.0,2.8217270194986073,0.3543928923988154,1.0,1.6239554317548746,0.6157804459691253,0.016713091922005572,0.0,0.08635097493036212,0.0,-23.25,-62.0,True,0.0,0.0
