station,extreme_pp_rate,days_total,days_with_pp,extreme_pp_value,avg_increasing_chain_length_for_extremes,avg_increasing_chain_length,avg_increasing_chain_length_for_extremes_norm,avg_high_t_chain_length_for_extremes,avg_high_t_chain_length,avg_high_t_chain_length_for_extremes_norm,large_jump_pos,large_jump_pos_extreme_pp_rate,large_jump_neg,large_jump_neg_extreme_pp_rate,lat,lon,is_land,large_jump_pos_extreme_pp_rate_norm,large_jump_neg_extreme_pp_rate_norm
-20.25_-52.0,0.042492917847025496,353,300,18.640573555603623,2.3333333333333335,3.2776203966005664,0.7118985883030827,1.8,1.9943342776203965,0.9025568181818182,0.042492917847025496,0.0,0.053824362606232294,0.10526315789473684,-20.25,-52.0,True,0.0,2.47719298245614
-20.25_-54.0,0.0453257790368272,353,295,18.328115483745933,2.3125,3.1189801699716715,0.741428247048138,1.8125,2.1133144475920678,0.8576575067024129,0.036827195467422094,0.0,0.06232294617563739,0.09090909090909091,-20.25,-54.0,True,0.0,2.0056818181818183
-20.25_-56.0,0.042492917847025496,353,289,17.411318002268672,2.0,2.8725212464589234,0.6962524654832347,2.3333333333333335,2.0736543909348444,1.1252276867030966,0.036827195467422094,0.07692307692307693,0.06232294617563739,0.13636363636363635,-20.25,-56.0,True,1.8102564102564103,3.209090909090909
-20.25_-58.0,0.036827195467422094,353,247,16.46459335461259,2.3076923076923075,2.9858356940509916,0.7728798715515982,1.5384615384615385,2.2209631728045327,0.6927001569858713,0.036827195467422094,0.07692307692307693,0.06515580736543909,0.13043478260869565,-20.25,-58.0,True,2.0887573964497044,3.5418060200668897
-20.25_-60.0,0.028328611898016998,353,191,12.519861431792378,1.5,3.235127478753541,0.46366024518388793,1.6,2.1076487252124645,0.7591397849462367,0.0339943342776204,0.0,0.0679886685552408,0.0,-20.25,-60.0,True,0.0,0.0
-20.25_-62.0,0.0226628895184136,353,152,11.463341815397143,1.0,3.2322946175637393,0.3093777388255916,1.5,1.9830028328611897,0.7564285714285715,0.0453257790368272,0.0,0.06232294617563739,0.13636363636363635,-20.25,-62.0,True,0.0,6.017045454545454
-20.25_-64.0,0.031161473087818695,353,208,18.689962243661284,1.1818181818181819,2.915014164305949,0.4054245074653238,1.3636363636363635,1.8470254957507082,0.7382877858337981,0.036827195467422094,0.0,0.0708215297450425,0.24,-20.25,-64.0,True,0.0,7.701818181818182
-20.25_-66.0,0.042492917847025496,353,291,22.299378644675016,1.7333333333333334,2.8158640226628897,0.6155600268276324,1.6666666666666667,1.9008498583569404,0.8768007948335818,0.042492917847025496,0.0,0.06232294617563739,0.22727272727272727,-20.25,-66.0,True,0.0,5.348484848484849
-20.25_-68.0,0.036827195467422094,353,258,23.392942920327187,1.8461538461538463,3.679886685552408,0.5016876887546634,1.0,2.0708215297450425,0.4829001367989056,0.04815864022662889,0.0,0.056657223796033995,0.2,-20.25,-68.0,True,0.0,5.430769230769231
-20.25_-70.0,0.0169971671388102,353,111,7.958542252890766,1.5,3.6288951841359776,0.41334894613583134,2.0,2.101983002832861,0.9514824797843666,0.031161473087818695,0.0,0.0679886685552408,0.125,-20.25,-70.0,True,0.0,7.354166666666666
-20.25_-72.0,0.0226628895184136,353,152,5.1827406976372,6.625,6.181303116147308,1.0717804766269479,3.25,2.2917847025495752,1.4181087762669962,0.0679886685552408,0.08333333333333333,0.0339943342776204,0.0,-20.25,-72.0,False,3.677083333333333,0.0
-20.25_-74.0,0.0056657223796034,353,27,5.207792425062507,5.5,5.019830028328612,1.0956546275395034,1.5,2.2011331444759206,0.6814671814671815,0.06232294617563739,0.0,0.042492917847025496,0.0,-20.25,-74.0,False,0.0,0.0
-20.25_-76.0,0.0028328611898017,353,17,4.07140594907105,7.0,5.470254957507082,1.2796478508544795,1.0,2.235127478753541,0.44740177439797213,0.053824362606232294,0.0,0.05099150141643059,0.0,-20.25,-76.0,False,0.0,0.0
-21.75_-52.0,0.042492917847025496,353,290,17.960662487894297,1.4666666666666666,3.0538243626062322,0.4802721088435374,2.2,2.1473087818696883,1.024538258575198,0.0453257790368272,0.0,0.053824362606232294,0.10526315789473684,-21.75,-52.0,True,0.0,2.47719298245614
-21.75_-54.0,0.042492917847025496,353,278,16.85343529097736,3.066666666666667,3.3512747875354107,0.9150746689208228,2.6,2.1756373937677056,1.1950520833333333,0.05099150141643059,0.0,0.04815864022662889,0.17647058823529413,-21.75,-54.0,True,0.0,4.152941176470589
-21.75_-56.0,0.039660056657223795,353,268,15.700748423114419,2.642857142857143,3.002832861189802,0.880121293800539,1.8571428571428572,2.1643059490084986,0.8580777860882574,0.042492917847025496,0.06666666666666667,0.059490084985835696,0.09523809523809523,-21.75,-56.0,True,1.680952380952381,2.401360544217687
-21.75_-58.0,0.0339943342776204,353,226,13.62720555625856,2.75,3.096317280453258,0.8881518755718206,1.5,2.056657223796034,0.7293388429752066,0.031161473087818695,0.0,0.0708215297450425,0.08,-21.75,-58.0,True,0.0,2.353333333333333
-21.75_-60.0,0.028328611898016998,353,189,12.577912816777825,1.4,3.1529745042492916,0.4440251572327044,1.8,2.0424929178470257,0.8812760055478501,0.0339943342776204,0.0,0.0708215297450425,0.08,-21.75,-60.0,True,0.0,2.824
-21.75_-62.0,0.019830028328611898,353,136,11.910618608817458,1.4285714285714286,2.9943342776203967,0.4770914988511961,1.1428571428571428,1.8810198300283285,0.6075731497418244,0.039660056657223795,0.0,0.0679886685552408,0.0,-21.75,-62.0,True,0.0,0.0
-21.75_-64.0,0.028328611898016998,353,189,19.641683343797922,1.3,2.810198300283286,0.46260080645161294,1.2,1.8243626062322946,0.6577639751552795,0.0226628895184136,0.0,0.08498583569405099,0.16666666666666666,-21.75,-64.0,True,0.0,5.883333333333333
-21.75_-66.0,0.039660056657223795,353,273,19.149774173274636,2.0,2.869688385269122,0.696939782823297,1.4285714285714286,1.9858356940509916,0.7193804768697779,0.04815864022662889,0.0,0.059490084985835696,0.23809523809523808,-21.75,-66.0,True,0.0,6.003401360544218
-21.75_-68.0,0.028328611898016998,353,193,18.829776160418987,1.3,3.9490084985835696,0.32919655667144904,1.6,2.056657223796034,0.7779614325068871,0.042492917847025496,0.06666666666666667,0.06232294617563739,0.18181818181818182,-21.75,-68.0,True,2.353333333333333,6.418181818181818
-21.75_-70.0,0.014164305949008499,353,87,10.225093527697027,1.4,3.453257790368272,0.4054142739950779,1.8,1.9886685552407932,0.9051282051282051,0.05099150141643059,0.0,0.04815864022662889,0.11764705882352941,-21.75,-70.0,True,0.0,8.305882352941175
-21.75_-72.0,0.014164305949008499,353,85,5.419678031466901,5.2,5.294617563739377,0.9821294810058856,2.2,2.2322946175637393,0.985532994923858,0.056657223796033995,0.0,0.04815864022662889,0.0,-21.75,-72.0,False,0.0,0.0
-21.75_-74.0,0.0084985835694051,353,52,4.4024963630363345,7.0,4.388101983002833,1.5952227243382828,5.0,2.181303116147309,2.292207792207792,0.04815864022662889,0.0,0.05099150141643059,0.0,-21.75,-74.0,False,0.0,0.0
-21.75_-76.0,0.0084985835694051,353,46,2.7601954992860556,6.333333333333333,5.101983002832861,1.2413473995928188,1.0,2.002832861189802,0.49929278642149927,0.05099150141643059,0.0,0.05099150141643059,0.0,-21.75,-76.0,False,0.0,0.0
-23.25_-52.0,0.039660056657223795,353,285,18.261690577492118,1.5714285714285714,2.898016997167139,0.5422427035330261,1.8571428571428572,2.087818696883853,0.8895134716030239,0.0453257790368272,0.0625,0.053824362606232294,0.10526315789473684,-23.25,-52.0,True,1.5758928571428572,2.6541353383458643
-23.25_-54.0,0.039660056657223795,353,269,16.249567363411188,2.9285714285714284,3.6005665722379603,0.8133640552995391,1.4285714285714286,2.0509915014164304,0.696527229676401,0.042492917847025496,0.0,0.059490084985835696,0.14285714285714285,-23.25,-54.0,True,0.0,3.6020408163265305
-23.25_-56.0,0.036827195467422094,353,237,14.125558314844966,2.6923076923076925,3.1529745042492916,0.8538945331398162,1.6153846153846154,2.0623229461756374,0.783284023668639,0.036827195467422094,0.0,0.0679886685552408,0.041666666666666664,-23.25,-56.0,True,0.0,1.1314102564102564
-23.25_-58.0,0.031161473087818695,353,204,13.786963792517781,2.3636363636363638,3.2011331444759206,0.7383748994368464,1.5454545454545454,2.0679886685552407,0.7473225404732254,0.031161473087818695,0.0,0.0708215297450425,0.08,-23.25,-58.0,True,0.0,2.5672727272727274
-23.25_-60.0,0.025495750708215296,353,171,15.445285616442561,1.6666666666666667,3.045325779036827,0.5472868217054264,1.0,1.9943342776203965,0.5014204545454546,0.0339943342776204,0.0,0.0679886685552408,0.041666666666666664,-23.25,-60.0,True,0.0,1.6342592592592593
-23.25_-62.0,0.019830028328611898,353,124,12.012843461707234,1.5714285714285714,2.9943342776203967,0.5248006487363157,1.0,1.9461756373937678,0.5138282387190684,0.031161473087818695,0.0,0.07365439093484419,0.0,-23.25,-62.0,True,0.0,0.0
-23.25_-64.0,0.031161473087818695,353,197,18.34704768843949,1.2727272727272727,2.8866855524079322,0.44089570880542417,1.0,1.858356940509915,0.538109756097561,0.031161473087818695,0.0,0.07365439093484419,0.0,-23.25,-64.0,True,0.0,0.0
-23.25_-66.0,0.036827195467422094,353,255,16.59851437434554,1.2307692307692308,2.671388101983003,0.4607227343176442,1.4615384615384615,1.8696883852691217,0.7817016317016316,0.039660056657223795,0.0,0.0679886685552408,0.16666666666666666,-23.25,-66.0,True,0.0,4.5256410256410255
-23.25_-68.0,0.028328611898016998,353,186,24.228348769247532,1.9,3.728045325779037,0.5096504559270516,1.0,2.045325779036827,0.4889196675900277,0.031161473087818695,0.0,0.0708215297450425,0.16,-23.25,-68.0,True,0.0,5.648
-23.25_-70.0,0.014164305949008499,353,87,9.683871106244624,1.2,3.498583569405099,0.34299595141700406,1.0,1.9320113314447591,0.5175953079178885,0.0453257790368272,0.0,0.053824362606232294,0.10526315789473684,-23.25,-70.0,True,0.0,7.43157894736842
-23.25_-72.0,0.014164305949008499,353,83,5.546304909512401,5.0,5.526912181303116,0.9046642747309073,2.8,2.2322946175637393,1.2543147208121828,0.053824362606232294,0.0,0.042492917847025496,0.0,-23.25,-72.0,False,0.0,0.0
-23.25_-74.0,0.014164305949008499,353,95,4.155248659662902,3.6,3.7393767705382435,0.9627272727272728,2.0,2.082152974504249,0.9605442176870749,0.05099150141643059,0.0,0.04815864022662889,0.0,-23.25,-74.0,False,0.0,0.0
-23.25_-76.0,0.0056657223796034,353,50,3.285040520131588,4.0,5.002832861189802,0.7995469988674971,1.0,2.0198300283286117,0.49509116409537174,0.0679886685552408,0.041666666666666664,0.0339943342776204,0.0,-23.25,-76.0,False,7.354166666666666,0.0
-24.75_-52.0,0.042492917847025496,353,276,17.72211268544197,1.7333333333333334,2.915014164305949,0.5946226109491416,1.2666666666666666,2.101983002832861,0.6026055705300988,0.036827195467422094,0.0,0.06515580736543909,0.043478260869565216,-24.75,-52.0,True,0.0,1.0231884057971015
-24.75_-54.0,0.039660056657223795,353,265,16.162076639011502,1.8571428571428572,3.082152974504249,0.602547268907563,1.0714285714285714,2.0198300283286117,0.5304548186736125,0.036827195467422094,0.0,0.0679886685552408,0.08333333333333333,-24.75,-54.0,True,0.0,2.1011904761904763
-24.75_-56.0,0.0339943342776204,353,226,14.882835187017918,1.4166666666666667,3.045325779036827,0.46519379844961245,1.3333333333333333,2.0594900849858355,0.6474094452086199,0.039660056657223795,0.0,0.0679886685552408,0.08333333333333333,-24.75,-56.0,True,0.0,2.4513888888888884
-24.75_-58.0,0.028328611898016998,353,185,15.95048806630075,2.0,3.328611898016997,0.6008510638297873,1.6,2.0594900849858355,0.776891334250344,0.028328611898016998,0.0,0.07932011331444759,0.03571428571428571,-24.75,-58.0,True,0.0,1.2607142857142857
-24.75_-60.0,0.0226628895184136,353,147,15.326897101476789,1.5,3.223796033994334,0.46528998242530756,1.75,1.9915014164305949,0.8787339971550499,0.036827195467422094,0.0,0.0679886685552408,0.041666666666666664,-24.75,-60.0,True,0.0,1.8385416666666665
-24.75_-62.0,0.0169971671388102,353,112,17.889503901824355,2.0,2.9801699716713883,0.6711026615969581,2.3333333333333335,2.008498583569405,1.161730136342266,0.031161473087818695,0.0,0.0708215297450425,0.04,-24.75,-62.0,True,0.0,2.353333333333333
-24.75_-64.0,0.028328611898016998,353,176,18.59502838924527,1.8,2.9263456090651556,0.6151016456921589,1.7,1.951841359773371,0.8709724238026125,0.0169971671388102,0.0,0.08498583569405099,0.03333333333333333,-24.75,-64.0,True,0.0,1.1766666666666665
-24.75_-66.0,0.039660056657223795,353,263,24.394730385392904,1.8571428571428572,2.7932011331444757,0.664879745001449,1.5714285714285714,1.8158640226628895,0.8653889012703365,0.028328611898016998,0.0,0.0764872521246459,0.18518518518518517,-24.75,-66.0,True,0.0,4.669312169312169
-24.75_-68.0,0.025495750708215296,353,177,26.408602483570576,1.7777777777777777,3.4390934844192635,0.5169320885960095,1.0,2.008498583569405,0.4978843441466855,0.0339943342776204,0.0,0.0679886685552408,0.16666666666666666,-24.75,-68.0,True,0.0,6.537037037037037
-24.75_-70.0,0.0113314447592068,353,73,8.57341771479696,1.5,3.5977337110481584,0.41692913385826774,1.25,1.8073654390934843,0.6916144200626959,0.039660056657223795,0.0,0.059490084985835696,0.09523809523809523,-24.75,-70.0,True,0.0,8.404761904761903
-24.75_-72.0,0.0113314447592068,353,69,4.588396078906953,3.75,5.232294617563739,0.7167027612344342,2.5,2.189801699716714,1.1416558861578265,0.059490084985835696,0.0,0.039660056657223795,0.0,-24.75,-72.0,False,0.0,0.0
-24.75_-74.0,0.0169971671388102,353,104,4.387431254144758,4.0,3.8810198300283285,1.0306569343065695,1.0,1.954674220963173,0.5115942028985507,0.059490084985835696,0.0,0.039660056657223795,0.0,-24.75,-74.0,False,0.0,0.0
-24.75_-76.0,0.0056657223796034,353,34,3.033371572382748,1.0,4.960339943342777,0.2015990862364363,1.0,1.9943342776203965,0.5014204545454546,0.06515580736543909,0.0,0.0339943342776204,0.08333333333333333,-24.75,-76.0,False,0.0,14.708333333333332
-26.25_-52.0,0.039660056657223795,353,263,16.399829322472215,1.7142857142857142,2.8470254957507084,0.6021321961620468,1.8571428571428572,2.011331444759207,0.9233400402414487,0.0339943342776204,0.08333333333333333,0.07365439093484419,0.07692307692307693,-26.25,-52.0,True,2.1011904761904763,1.9395604395604398
-26.25_-54.0,0.036827195467422094,353,241,16.239204816520214,2.076923076923077,2.869688385269122,0.7237451590857317,1.0,2.011331444759207,0.49718309859154924,0.031161473087818695,0.0,0.07365439093484419,0.11538461538461539,-26.25,-54.0,True,0.0,3.1331360946745566
-26.25_-56.0,0.0339943342776204,353,222,13.97215062752366,2.3333333333333335,3.084985835694051,0.7563513927150292,1.0,1.9263456090651558,0.5191176470588236,0.031161473087818695,0.0,0.0764872521246459,0.0,-26.25,-56.0,True,0.0,0.0
-26.25_-58.0,0.028328611898016998,353,184,17.27573610842228,2.0,2.810198300283286,0.7116935483870968,2.3,1.9376770538243626,1.1869883040935671,0.039660056657223795,0.0,0.06515580736543909,0.043478260869565216,-26.25,-58.0,True,0.0,1.5347826086956522
-26.25_-60.0,0.0226628895184136,353,148,15.001402236521244,2.0,2.915014164305949,0.6861030126336248,1.75,1.9320113314447591,0.9057917888563051,0.039660056657223795,0.0,0.06232294617563739,0.045454545454545456,-26.25,-60.0,True,0.0,2.0056818181818183
-26.25_-62.0,0.0169971671388102,353,118,13.100898312404752,2.3333333333333335,2.8045325779036827,0.831986531986532,2.0,1.9745042492917848,1.0129124820659972,0.031161473087818695,0.0,0.0679886685552408,0.0,-26.25,-62.0,True,0.0,0.0
-26.25_-64.0,0.025495750708215296,353,159,37.92722588405013,1.5555555555555556,2.971671388101983,0.5234614977226989,2.3333333333333335,1.971671388101983,1.1834291187739465,0.014164305949008499,0.0,0.08781869688385269,0.06451612903225806,-26.25,-64.0,True,0.0,2.5304659498207887
-26.25_-66.0,0.0339943342776204,353,232,37.97908890992403,1.5,2.776203966005666,0.5403061224489796,1.4166666666666667,1.7790368271954675,0.7963110403397028,0.028328611898016998,0.0,0.0764872521246459,0.1111111111111111,-26.25,-66.0,True,0.0,3.268518518518518
-26.25_-68.0,0.0226628895184136,353,150,24.6176621876657,1.875,3.2322946175637393,0.5800832602979843,1.375,1.951841359773371,0.7044629898403484,0.0339943342776204,0.0,0.0679886685552408,0.041666666666666664,-26.25,-68.0,True,0.0,1.8385416666666665
-26.25_-70.0,0.0084985835694051,353,57,6.71392644289881,2.3333333333333335,3.3002832861189804,0.7070100143061516,2.0,1.7478753541076488,1.1442463533225282,0.036827195467422094,0.0,0.06232294617563739,0.045454545454545456,-26.25,-70.0,True,0.0,5.348484848484848
-26.25_-72.0,0.0056657223796034,353,36,2.731039049103856,4.0,5.152974504249292,0.7762506871907642,2.0,2.1586402266288953,0.926509186351706,0.05099150141643059,0.0,0.04815864022662889,0.058823529411764705,-26.25,-72.0,False,0.0,10.38235294117647
-26.25_-74.0,0.0169971671388102,353,115,4.078678088262677,3.1666666666666665,3.623229461756374,0.8739900964295022,1.0,1.8470254957507082,0.5414110429447853,0.056657223796033995,0.0,0.042492917847025496,0.0,-26.25,-74.0,False,0.0,0.0
-26.25_-76.0,0.0028328611898017,353,18,2.970350137911737,1.0,4.643059490084986,0.21537522879804757,1.0,2.0311614730878187,0.49232914923291493,0.059490084985835696,0.0,0.039660056657223795,0.07142857142857142,-26.25,-76.0,False,0.0,25.21428571428571
-27.75_-52.0,0.036827195467422094,353,245,17.858070507645607,2.0,2.7932011331444757,0.7160243407707911,2.076923076923077,1.9320113314447591,1.0750056395217686,0.025495750708215296,0.1111111111111111,0.0821529745042493,0.13793103448275862,-27.75,-52.0,True,3.017094017094017,3.7453580901856767
-27.75_-54.0,0.0339943342776204,353,224,15.694775059819221,2.4166666666666665,2.858356940509915,0.8454740667327386,2.0,1.980169971671388,1.0100143061516451,0.028328611898016998,0.0,0.0764872521246459,0.1111111111111111,-27.75,-54.0,True,0.0,3.268518518518518
-27.75_-56.0,0.031161473087818695,353,204,16.839468106627464,2.090909090909091,2.770538243626062,0.7546941810745492,1.6363636363636365,1.8838526912181304,0.868626110731374,0.0339943342776204,0.0,0.0708215297450425,0.04,-27.75,-56.0,True,0.0,1.2836363636363637
-27.75_-58.0,0.028328611898016998,353,182,16.990747209638357,1.8,2.6600566572237963,0.6766773162939297,1.6,1.9206798866855523,0.8330383480825959,0.031161473087818695,0.0,0.0708215297450425,0.04,-27.75,-58.0,True,0.0,1.412
-27.75_-60.0,0.0226628895184136,353,149,16.17851690389216,2.375,2.73371104815864,0.8687823834196892,1.0,1.9235127478753542,0.519882179675994,0.028328611898016998,0.0,0.07365439093484419,0.07692307692307693,-27.75,-60.0,True,0.0,3.394230769230769
-27.75_-62.0,0.019830028328611898,353,120,14.073347020894289,1.2857142857142858,2.84985835694051,0.45115024140869076,2.7142857142857144,1.9745042492917848,1.3746669399467104,0.031161473087818695,0.0,0.0708215297450425,0.0,-27.75,-62.0,True,0.0,0.0
-27.75_-64.0,0.0226628895184136,353,150,21.177741698920727,1.0,2.997167138810198,0.333648393194707,1.75,1.8725212464589236,0.9345688350983358,0.028328611898016998,0.0,0.07365439093484419,0.038461538461538464,-27.75,-64.0,True,0.0,1.6971153846153846
-27.75_-66.0,0.025495750708215296,353,167,32.5488930568099,1.3333333333333333,2.858356940509915,0.46646845061116615,2.6666666666666665,1.8951841359773371,1.407075236671649,0.019830028328611898,0.0,0.08498583569405099,0.03333333333333333,-27.75,-66.0,True,0.0,1.3074074074074074
-27.75_-68.0,0.019830028328611898,353,126,20.8035949151963,3.142857142857143,2.906515580736544,1.0813143971038708,2.2857142857142856,1.9008498583569404,1.2024696614860548,0.04815864022662889,0.0,0.056657223796033995,0.05,-27.75,-68.0,True,0.0,2.521428571428572
-27.75_-70.0,0.0056657223796034,353,39,9.52356532216072,1.0,3.1586402266288953,0.31659192825112104,1.0,1.8980169971671388,0.5268656716417911,0.042492917847025496,0.0,0.059490084985835696,0.047619047619047616,-27.75,-70.0,True,0.0,8.404761904761903
-27.75_-72.0,0.0028328611898017,353,10,9.875969868153334,1.0,4.039660056657223,0.24754558204768587,1.0,1.9745042492917848,0.5064562410329986,0.056657223796033995,0.0,0.042492917847025496,0.0,-27.75,-72.0,False,0.0,0.0
-27.75_-74.0,0.0169971671388102,353,106,4.5034142676740885,2.3333333333333335,3.2861189801699715,0.7100574712643679,2.3333333333333335,1.7620396600566572,1.3242229367631297,0.053824362606232294,0.0,0.0453257790368272,0.0625,-27.75,-74.0,False,0.0,3.677083333333333
-27.75_-76.0,0.0056657223796034,353,22,2.4478967883624136,1.5,4.008498583569405,0.37420494699646645,1.0,1.7875354107648724,0.5594294770206022,0.06232294617563739,0.0,0.036827195467422094,0.0,-27.75,-76.0,False,0.0,0.0
-29.25_-52.0,0.025495750708215296,353,193,25.6989779882133,1.5555555555555556,2.9348441926345608,0.53003003003003,2.2222222222222223,1.8243626062322946,1.2180814354727398,0.0226628895184136,0.0,0.08498583569405099,0.13333333333333333,-29.25,-52.0,True,0.0,5.229629629629629
-29.25_-54.0,0.028328611898016998,353,208,21.47869560867548,1.7,2.9688385269121813,0.5726145038167939,1.5,1.7818696883852692,0.84181240063593,0.0226628895184136,0.0,0.08498583569405099,0.06666666666666667,-29.25,-54.0,True,0.0,2.353333333333333
-29.25_-56.0,0.028328611898016998,353,191,22.702225483953953,1.9,2.8045325779036827,0.6774747474747475,1.3,1.8470254957507082,0.7038343558282208,0.028328611898016998,0.0,0.0764872521246459,0.037037037037037035,-29.25,-56.0,True,0.0,1.3074074074074074
-29.25_-58.0,0.028328611898016998,353,181,17.30921510607004,1.7,2.651558073654391,0.6411324786324786,1.2,1.8470254957507082,0.6496932515337424,0.031161473087818695,0.09090909090909091,0.0708215297450425,0.12,-29.25,-58.0,True,3.209090909090909,4.236
-29.25_-60.0,0.0226628895184136,353,157,17.98947947099805,1.375,2.6600566572237963,0.5169062832800851,2.0,1.8611898016997168,1.0745814307458144,0.036827195467422094,0.0,0.06232294617563739,0.045454545454545456,-29.25,-60.0,True,0.0,2.0056818181818183
-29.25_-62.0,0.019830028328611898,353,138,21.200483478605747,1.4285714285714286,2.7110481586402266,0.5269443200477684,1.0,1.9121813031161472,0.522962962962963,0.028328611898016998,0.0,0.07365439093484419,0.07692307692307693,-29.25,-62.0,True,0.0,3.8791208791208796
-29.25_-64.0,0.019830028328611898,353,130,43.13491489738226,1.7142857142857142,2.906515580736544,0.5898078529657477,1.8571428571428572,1.886685552407932,0.9843414843414844,0.0226628895184136,0.0,0.0821529745042493,0.0,-29.25,-64.0,True,0.0,0.0
-29.25_-66.0,0.0226628895184136,353,146,35.627982672303915,1.875,2.6940509915014164,0.6959779179810726,2.25,1.841359773371105,1.221923076923077,0.0113314447592068,0.0,0.09348441926345609,0.030303030303030304,-29.25,-66.0,True,0.0,1.3371212121212122
-29.25_-68.0,0.0169971671388102,353,115,15.447874367237091,1.8333333333333333,2.8895184135977336,0.6344771241830065,1.3333333333333333,1.8640226628895185,0.7152988855116514,0.025495750708215296,0.0,0.07932011331444759,0.07142857142857142,-29.25,-68.0,True,0.0,4.202380952380952
-29.25_-70.0,0.0056657223796034,353,29,8.148591010831296,1.0,2.6118980169971673,0.3828633405639913,1.0,1.9036827195467423,0.5252976190476191,0.059490084985835696,0.0,0.042492917847025496,0.0,-29.25,-70.0,True,0.0,0.0
-29.25_-72.0,0.0028328611898017,353,8,11.264952225610614,1.0,3.263456090651558,0.3064236111111111,1.0,1.886685552407932,0.53003003003003,0.056657223796033995,0.0,0.039660056657223795,0.07142857142857142,-29.25,-72.0,False,0.0,25.21428571428571
-29.25_-74.0,0.0056657223796034,353,34,8.231735927984118,2.5,3.3399433427762037,0.7485156912637829,1.5,1.7053824362606231,0.8795681063122924,0.04815864022662889,0.0,0.053824362606232294,0.0,-29.25,-74.0,False,0.0,0.0
-29.25_-76.0,0.0056657223796034,353,38,3.0844550812616944,1.5,4.0821529745042495,0.36745315752949337,1.0,1.7988668555240792,0.5559055118110237,0.05099150141643059,0.0,0.0453257790368272,0.0,-29.25,-76.0,False,0.0,0.0
-30.75_-52.0,0.0226628895184136,353,176,29.337959457188845,1.125,2.773371104815864,0.4056435137895812,1.875,1.5977337110481586,1.1735372340425532,0.0226628895184136,0.0,0.0821529745042493,0.13793103448275862,-30.75,-52.0,True,0.0,6.086206896551724
-30.75_-54.0,0.025495750708215296,353,178,26.146325189620256,2.2222222222222223,2.7677053824362607,0.8029114068008644,1.0,1.7138810198300283,0.5834710743801653,0.025495750708215296,0.0,0.0821529745042493,0.10344827586206896,-30.75,-54.0,True,0.0,4.057471264367816
-30.75_-56.0,0.025495750708215296,353,175,24.925071001052856,1.0,2.6543909348441925,0.3767342582710779,1.0,1.7110481586402266,0.5844370860927153,0.019830028328611898,0.0,0.08498583569405099,0.26666666666666666,-30.75,-56.0,True,0.0,10.459259259259259
-30.75_-58.0,0.025495750708215296,353,171,19.54021663405001,1.1111111111111112,2.640226628895184,0.42083929422985217,1.3333333333333333,1.7705382436260624,0.7530666666666666,0.0339943342776204,0.0,0.0679886685552408,0.125,-30.75,-58.0,True,0.0,4.902777777777778
-30.75_-60.0,0.0226628895184136,353,155,20.23019352927804,1.5,2.5665722379603397,0.5844370860927153,1.75,1.7960339943342776,0.9743690851735016,0.031161473087818695,0.0,0.0708215297450425,0.0,-30.75,-60.0,True,0.0,0.0
-30.75_-62.0,0.0226628895184136,353,143,43.413564562797546,1.0,2.6628895184135977,0.37553191489361704,2.125,1.8951841359773371,1.1212630792227205,0.0339943342776204,0.0,0.0679886685552408,0.08333333333333333,-30.75,-62.0,True,0.0,3.677083333333333
-30.75_-64.0,0.019830028328611898,353,131,52.59516332298517,2.7142857142857144,2.963172804532578,0.9160065555859055,3.0,1.8725212464589236,1.6021180030257185,0.0169971671388102,0.0,0.08781869688385269,0.06451612903225806,-30.75,-64.0,True,0.0,3.2534562211981566
-30.75_-66.0,0.019830028328611898,353,134,38.16400794312358,1.8571428571428572,2.909348441926346,0.6383363471971066,1.7142857142857142,1.8101983002832862,0.9470154258886653,0.0169971671388102,0.0,0.08781869688385269,0.0,-30.75,-66.0,True,0.0,0.0
