station,extreme_pp_rate,days_total,days_with_pp,extreme_pp_value,avg_increasing_chain_length_for_extremes,avg_increasing_chain_length,avg_increasing_chain_length_for_extremes_norm,avg_high_t_chain_length_for_extremes,avg_high_t_chain_length,avg_high_t_chain_length_for_extremes_norm,large_jump_pos,large_jump_pos_extreme_pp_rate,large_jump_neg,large_jump_neg_extreme_pp_rate,lat,lon,is_land,large_jump_pos_extreme_pp_rate_norm,large_jump_neg_extreme_pp_rate_norm
-20.25_-52.0,0.002857142857142857,350,20,17.228584131225944,6.0,3.4914285714285715,1.718494271685761,1.0,1.7885714285714285,0.5591054313099042,0.03142857142857143,0.0,0.06285714285714286,0.0,-20.25,-52.0,True,0.0,0.0
-20.25_-54.0,0.0028169014084507044,355,18,24.232666287571192,1.0,3.5492957746478875,0.28174603174603174,1.0,1.8309859154929577,0.5461538461538461,0.030985915492957747,0.0,0.07323943661971831,0.038461538461538464,-20.25,-54.0,True,0.0,13.653846153846153
-20.25_-56.0,0.005649717514124294,354,24,7.986884610727429,1.0,3.2655367231638417,0.3062283737024222,3.0,1.768361581920904,1.6964856230031948,0.02824858757062147,0.0,0.06497175141242938,0.0,-20.25,-56.0,True,0.0,0.0
-20.25_-58.0,0.0027548209366391185,363,20,23.363228235393763,6.0,3.159779614325069,1.8988666085440278,5.0,1.6859504132231404,2.965686274509804,0.02203856749311295,0.0,0.08264462809917356,0.0,-20.25,-58.0,True,0.0,0.0
-20.25_-60.0,0.002777777777777778,360,19,41.94898288697004,1.0,2.7083333333333335,0.3692307692307692,5.0,1.6416666666666666,3.0456852791878175,0.03333333333333333,0.0,0.07222222222222222,0.0,-20.25,-60.0,True,0.0,0.0
-20.25_-62.0,0.0027624309392265192,362,17,34.28831733763218,1.0,2.6933701657458564,0.3712820512820513,5.0,1.6160220994475138,3.094017094017094,0.022099447513812154,0.0,0.07458563535911603,0.0,-20.25,-62.0,True,0.0,0.0
-20.25_-64.0,0.002777777777777778,360,18,23.075895756483078,2.0,2.6805555555555554,0.7461139896373058,1.0,1.6444444444444444,0.6081081081081081,0.019444444444444445,0.0,0.075,0.0,-20.25,-64.0,True,0.0,0.0
-20.25_-66.0,0.0027548209366391185,363,10,35.344424564391375,1.0,2.4958677685950414,0.40066225165562913,1.0,1.8898071625344353,0.5291545189504373,0.0440771349862259,0.0,0.05234159779614325,0.05263157894736842,-20.25,-66.0,True,0.0,19.105263157894736
-20.25_-68.0,0.0027624309392265192,362,8,5.055762408301234,4.0,3.1298342541436464,1.2780229479258605,7.0,2.016574585635359,3.4712328767123286,0.049723756906077346,0.0,0.04419889502762431,0.0,-20.25,-68.0,True,0.0,0.0
-20.25_-70.0,0.0027472527472527475,364,8,2.975012152455747,2.0,2.9450549450549453,0.6791044776119403,7.0,1.8873626373626373,3.7088791848617175,0.04945054945054945,0.0,0.0521978021978022,0.0,-20.25,-70.0,True,0.0,0.0
-20.25_-72.0,0.00273224043715847,366,4,2.9412442934699357,2.0,4.1502732240437155,0.4818959842001317,2.0,1.9426229508196722,1.029535864978903,0.04371584699453552,0.0,0.05737704918032787,0.0,-20.25,-72.0,False,0.0,0.0
-20.25_-74.0,0.005917159763313609,338,39,4.787288582883775,4.0,4.653846153846154,0.8595041322314049,3.5,2.224852071005917,1.5731382978723405,0.04437869822485207,0.0,0.05621301775147929,0.0,-20.25,-74.0,False,0.0,0.0
-20.25_-76.0,0.005714285714285714,350,31,3.5012455307878554,3.0,3.4571428571428573,0.8677685950413223,2.0,1.9085714285714286,1.0479041916167664,0.06,0.0,0.037142857142857144,0.0,-20.25,-76.0,False,0.0,0.0
