station,extreme_pp_rate,days_total,days_with_pp,extreme_pp_value,avg_increasing_chain_length_for_extremes,avg_increasing_chain_length,avg_increasing_chain_length_for_extremes_norm,avg_high_t_chain_length_for_extremes,avg_high_t_chain_length,avg_high_t_chain_length_for_extremes_norm,large_jump_pos,large_jump_pos_extreme_pp_rate,large_jump_neg,large_jump_neg_extreme_pp_rate,lat,lon,is_land,large_jump_pos_extreme_pp_rate_norm,large_jump_neg_extreme_pp_rate_norm
-20.28169_-52.5,0.08333333333333333,12,3,649.8704946949147,4.0,5.5,0.7272727272727273,2.0,1.3333333333333333,1.5,0.16666666666666666,0.0,0.08333333333333333,0.0,-20.28169,-52.5,True,0.0,0.0
-20.28169_-55.0,0.0,10,2,,,,,,,,0.2,0.0,0.0,,-20.28169,-55.0,True,,
-20.28169_-57.5,0.0,9,2,,,,,,,,0.1111111111111111,0.0,0.1111111111111111,0.0,-20.28169,-57.5,True,,
-20.28169_-60.0,0.0,11,3,,,,,,,,0.0,,0.0,,-20.28169,-60.0,True,,
-20.28169_-62.5,0.0,31,7,,,,,,,,0.03225806451612903,0.0,0.03225806451612903,0.0,-20.28169,-62.5,True,,
-20.28169_-65.0,0.02702702702702703,74,20,124.35734558966942,1.5,3.0945945945945947,0.48471615720524014,1.5,1.6081081081081081,0.9327731092436975,0.06756756756756757,0.0,0.013513513513513514,0.0,-20.28169,-65.0,True,0.0,0.0
-20.28169_-67.5,0.008403361344537815,119,18,74.60296457866207,3.0,2.4789915966386555,1.2101694915254237,1.0,1.6722689075630253,0.5979899497487438,0.06722689075630252,0.0,0.03361344537815126,0.0,-20.28169,-67.5,True,0.0,0.0
-20.28169_-70.0,0.005780346820809248,173,1,2.7168325090315193,5.0,2.832369942196532,1.7653061224489797,1.0,1.5722543352601157,0.6360294117647058,0.06936416184971098,0.0,0.03468208092485549,0.0,-20.28169,-70.0,True,0.0,0.0
-20.28169_-75.0,0.005780346820809248,173,1,2.4172212230041623,7.0,5.578034682080925,1.2549222797927462,1.0,1.9710982658959537,0.5073313782991202,0.07514450867052024,0.07692307692307693,0.04046242774566474,0.0,-20.28169,-75.0,False,13.307692307692308,0.0
-21.549295_-52.5,0.05,20,5,443.8790234271437,4.0,4.8,0.8333333333333334,3.0,1.3,2.3076923076923075,0.1,0.0,0.05,0.0,-21.549295,-52.5,True,0.0,0.0
-21.549295_-55.0,0.0,15,3,,,,,,,,0.13333333333333333,0.0,0.06666666666666667,0.0,-21.549295,-55.0,True,,
-21.549295_-57.5,0.06666666666666667,15,5,417.9903532785829,2.0,4.533333333333333,0.4411764705882353,2.0,1.2666666666666666,1.5789473684210527,0.13333333333333333,0.0,0.0,,-21.549295,-57.5,True,0.0,
-21.549295_-60.0,0.0,17,3,,,,,,,,0.058823529411764705,0.0,0.0,,-21.549295,-60.0,True,,
-21.549295_-62.5,0.0,46,12,,,,,,,,0.043478260869565216,0.0,0.08695652173913043,0.0,-21.549295,-62.5,True,,
-21.549295_-65.0,0.0,65,17,,,,,,,,0.06153846153846154,0.0,0.046153846153846156,0.0,-21.549295,-65.0,True,,
-21.549295_-67.5,0.012345679012345678,81,19,158.82361219846644,1.0,2.567901234567901,0.3894230769230769,1.0,1.5679012345679013,0.6377952755905512,0.04938271604938271,0.0,0.07407407407407407,0.16666666666666666,-21.549295,-67.5,True,0.0,13.5
-21.549295_-72.5,0.005747126436781609,174,3,1.289145482587628,1.0,4.258620689655173,0.23481781376518218,1.0,1.839080459770115,0.54375,0.05747126436781609,0.0,0.04597701149425287,0.0,-21.549295,-72.5,False,0.0,0.0
-21.549295_-75.0,0.005780346820809248,173,5,2.9354692669585347,7.0,5.687861271676301,1.2306910569105691,1.0,1.9190751445086704,0.5210843373493976,0.05202312138728324,0.0,0.046242774566473986,0.0,-21.549295,-75.0,False,0.0,0.0
-22.816902_-52.5,0.022222222222222223,45,9,309.40830528270453,4.0,3.977777777777778,1.005586592178771,1.0,1.488888888888889,0.6716417910447761,0.06666666666666667,0.0,0.044444444444444446,0.0,-22.816902,-52.5,True,0.0,0.0
-22.816902_-55.0,0.041666666666666664,24,6,392.14388391701505,1.0,2.8333333333333335,0.3529411764705882,1.0,1.4583333333333333,0.6857142857142857,0.125,0.0,0.041666666666666664,0.0,-22.816902,-55.0,True,0.0,0.0
-22.816902_-57.5,0.037037037037037035,27,6,448.80520025035366,2.0,3.7777777777777777,0.5294117647058824,1.0,1.6296296296296295,0.6136363636363636,0.14814814814814814,0.25,0.0,,-22.816902,-57.5,True,6.75,
