station,extreme_pp_rate,days_total,days_with_pp,extreme_pp_value,avg_increasing_chain_length_for_extremes,avg_increasing_chain_length,avg_increasing_chain_length_for_extremes_norm,avg_high_t_chain_length_for_extremes,avg_high_t_chain_length,avg_high_t_chain_length_for_extremes_norm,large_jump_pos,large_jump_pos_extreme_pp_rate,large_jump_neg,large_jump_neg_extreme_pp_rate,lat,lon,is_land,large_jump_pos_extreme_pp_rate_norm,large_jump_neg_extreme_pp_rate_norm
-20.28169_-52.5,0.05202312138728324,173,162,13.74657852575183,3.5555555555555554,3.53757225433526,1.0050835148874364,2.3333333333333335,2.1445086705202314,1.0880503144654088,0.046242774566473986,0.125,0.057803468208092484,0.1,-20.28169,-52.5,True,2.4027777777777777,1.9222222222222223
-20.28169_-55.0,0.05202312138728324,173,159,14.053761027753353,3.888888888888889,3.9364161849710984,0.9879262522434328,1.0,2.115606936416185,0.47267759562841527,0.05202312138728324,0.1111111111111111,0.05202312138728324,0.2222222222222222,-20.28169,-55.0,True,2.135802469135802,4.271604938271604
-20.28169_-57.5,0.046242774566473986,173,151,13.83053376339376,1.625,3.76878612716763,0.4311733128834356,1.75,2.138728323699422,0.8182432432432433,0.057803468208092484,0.1,0.046242774566473986,0.0,-20.28169,-57.5,True,2.1625,0.0
-20.28169_-60.0,0.046242774566473986,173,146,16.646966384723783,3.5,2.6820809248554913,1.3049568965517242,2.625,1.930635838150289,1.3596556886227544,0.06358381502890173,0.09090909090909091,0.04046242774566474,0.0,-20.28169,-60.0,True,1.965909090909091,0.0
-20.28169_-62.5,0.04046242774566474,173,116,18.89382228255272,2.7142857142857144,2.76878612716763,0.9803161348046525,2.857142857142857,2.0,1.4285714285714286,0.046242774566473986,0.125,0.05202312138728324,0.1111111111111111,-20.28169,-62.5,True,3.0892857142857144,2.746031746031746
-20.28169_-65.0,0.03468208092485549,173,114,20.695747481659055,2.0,2.4046242774566475,0.8317307692307692,1.0,1.6589595375722543,0.6027874564459931,0.04046242774566474,0.0,0.06358381502890173,0.09090909090909091,-20.28169,-65.0,True,0.0,2.6212121212121215
-20.28169_-67.5,0.028901734104046242,173,96,16.07891726307571,1.6,2.393063583815029,0.6685990338164252,1.0,2.0635838150289016,0.484593837535014,0.04046242774566474,0.0,0.06358381502890173,0.0,-20.28169,-67.5,True,0.0,0.0
-20.28169_-75.0,0.005780346820809248,173,1,1.3440626906231046,4.0,5.734104046242774,0.6975806451612904,1.0,2.023121387283237,0.4942857142857142,0.046242774566473986,0.0,0.057803468208092484,0.0,-20.28169,-75.0,False,0.0,0.0
-21.549295_-52.5,0.05202312138728324,173,163,13.665165519341826,3.888888888888889,3.3815028901734103,1.1500474833808167,1.5555555555555556,2.052023121387283,0.7580594679186229,0.05202312138728324,0.1111111111111111,0.05202312138728324,0.1111111111111111,-21.549295,-52.5,True,2.135802469135802,2.135802469135802
-21.549295_-55.0,0.05202312138728324,173,159,13.850312121212482,3.3333333333333335,3.4046242774566475,0.9790605546123373,1.1111111111111112,2.1734104046242773,0.5112293144208039,0.05202312138728324,0.1111111111111111,0.046242774566473986,0.125,-21.549295,-55.0,True,2.135802469135802,2.4027777777777777
