station,extreme_pp_rate,days_total,days_with_pp,extreme_pp_value,avg_increasing_chain_length_for_extremes,avg_increasing_chain_length,avg_increasing_chain_length_for_extremes_norm,avg_high_t_chain_length_for_extremes,avg_high_t_chain_length,avg_high_t_chain_length_for_extremes_norm,large_jump_pos,large_jump_pos_extreme_pp_rate,large_jump_neg,large_jump_neg_extreme_pp_rate,lat,lon,is_land,large_jump_pos_extreme_pp_rate_norm,large_jump_neg_extreme_pp_rate_norm
-20.311123512960364_-52.03125,0.013493253373313344,1334,343,288.98418316966854,2.9444444444444446,2.820839580209895,1.0438184663536776,1.4444444444444444,1.514992503748126,0.9534333938094453,0.06296851574212893,0.011904761904761904,0.01649175412293853,0.0,-20.311123512960364,-52.03125,True,0.8822751322751322,0.0
-20.311123512960364_-53.4375,0.014316392269148175,1397,377,251.83072990039364,2.5,2.6886184681460272,0.9298455804046858,1.3,1.5461703650680028,0.8407870370370372,0.06657122405153901,0.0,0.02219040801717967,0.0,-20.311123512960364,-53.4375,True,0.0,0.0
-20.311123512960364_-54.84375,0.013716525146962769,1531,396,236.1691507132491,2.6666666666666665,2.7557152188112344,0.9676858655289563,1.1428571428571428,1.5636838667537558,0.7308748060627759,0.054866100587851074,0.0,0.031352057478772045,0.020833333333333332,-20.311123512960364,-54.84375,True,0.0,1.5188492063492063
-20.311123512960364_-56.25,0.0133422281521014,1499,374,191.9939648854779,3.3,3.0833889259506337,1.0702509736045,1.65,1.628418945963976,1.0132527652601393,0.0513675783855904,0.025974025974025976,0.03268845897264843,0.0,-20.311123512960364,-56.25,True,1.946753246753247,0.0
-20.311123512960364_-57.65625,0.012213740458015267,1965,459,127.61310503119603,3.2083333333333335,2.96793893129771,1.080997085048011,1.4583333333333333,1.6356234096692113,0.8916070317361542,0.035623409669211195,0.0,0.04834605597964377,0.010526315789473684,-20.311123512960364,-57.65625,True,0.0,0.8618421052631579
-20.311123512960364_-59.0625,0.010535557506584723,2278,469,98.99958340683952,3.6666666666666665,2.8437225636523267,1.2893897293403314,2.4166666666666665,1.601404741000878,1.5090917397660817,0.038191395961369626,0.011494252873563218,0.058384547848990345,0.0,-20.311123512960364,-59.0625,True,1.0909961685823755,0.0
-20.311123512960364_-60.46875,0.010906040268456376,2384,493,89.00092039257288,2.423076923076923,2.6954697986577183,0.89894419306184,2.230769230769231,1.5708892617449663,1.4200677826846053,0.033976510067114093,0.024691358024691357,0.0625,0.006711409395973154,-20.311123512960364,-60.46875,True,2.2640075973409304,0.6153846153846154
-20.311123512960364_-61.875,0.010061919504643963,2584,504,73.76381421927363,2.3846153846153846,2.559984520123839,0.9314960172103028,2.1923076923076925,1.5797213622291022,1.387781253533336,0.03831269349845201,0.0,0.05495356037151703,0.007042253521126761,-20.311123512960364,-61.875,True,0.0,0.6998916576381365
-20.311123512960364_-63.28125,0.011798017932987258,2119,488,149.64861025800928,2.04,2.4997640396413403,0.8160770247309798,1.92,1.5280792826805096,1.2564793082149475,0.052855120339782916,0.008928571428571428,0.03209060877772534,0.014705882352941176,-20.311123512960364,-63.28125,True,0.7567857142857143,1.2464705882352942
-20.311123512960364_-64.6875,0.018018018018018018,888,300,512.2758366545895,2.9375,2.5472972972972974,1.153183023872679,1.9375,1.4009009009009008,1.3830385852090032,0.07094594594594594,0.015873015873015872,0.024774774774774775,0.0,-20.311123512960364,-64.6875,True,0.8809523809523809,0.0
-20.311123512960364_-66.09375,0.018666666666666668,750,270,379.44928715005517,2.5714285714285716,2.484,1.0351966873706004,1.6428571428571428,1.4253333333333333,1.1526125885340104,0.07733333333333334,0.017241379310344827,0.004,0.0,-20.311123512960364,-66.09375,True,0.9236453201970443,0.0
-20.311123512960364_-67.5,0.014592933947772658,1302,363,157.07831152249128,1.9473684210526316,2.2887864823348694,0.8508300953726599,1.2105263157894737,1.5414746543778801,0.785304067343246,0.06682027649769585,0.04597701149425287,0.013824884792626729,0.05555555555555555,-20.311123512960364,-67.5,True,3.1506352087114338,3.807017543859649
-20.311123512960364_-68.90625,0.010677808727948004,2154,440,58.93987641320564,1.9130434782608696,2.1420612813370474,0.8930853168994176,1.6521739130434783,1.6652739090064996,0.9921334286857129,0.0584958217270195,0.007936507936507936,0.032961931290622096,0.014084507042253521,-20.311123512960364,-68.90625,True,0.743271221532091,1.3190447030006123
-20.311123512960364_-70.3125,0.003980099502487562,3015,238,12.489525647833943,1.6666666666666667,2.407296849087894,0.6923394874621108,1.5,1.7107794361525706,0.8767933307483521,0.053399668325041456,0.006211180124223602,0.04212271973466003,0.007874015748031496,-20.311123512960364,-70.3125,False,1.56055900621118,1.9783464566929134
-20.311123512960364_-71.71875,0.0058219178082191785,2920,322,7.579831208568066,3.9411764705882355,4.2023972602739725,0.9378400533059773,1.5294117647058822,1.7856164383561643,0.8565175207021819,0.047602739726027396,0.0,0.05102739726027397,0.006711409395973154,-20.311123512960364,-71.71875,False,0.0,1.1527832609553887
-20.311123512960364_-73.125,0.002584814216478191,3095,149,4.712219210341573,5.125,4.524717285945073,1.1326674521565268,2.5,1.802907915993538,1.3866487455197132,0.04620355411954766,0.0,0.05137318255250404,0.0,-20.311123512960364,-73.125,False,0.0,0.0
-20.311123512960364_-74.53125,0.0016082341588935349,3109,100,5.487780785188079,4.4,4.544548086201351,0.9681930780663884,2.0,1.8182695400450306,1.099946930833186,0.06207783853329045,0.0,0.03859761981344484,0.0,-20.311123512960364,-74.53125,False,0.0,0.0
-20.311123512960364_-75.9375,0.002269779507133593,3084,131,6.012430298142135,4.0,5.377756160830091,0.7438046427494723,2.7142857142857144,1.8381971465629052,1.4766020714159718,0.07392996108949416,0.0,0.027237354085603113,0.011904761904761904,-20.311123512960364,-75.9375,False,0.0,5.244897959183673
-21.711889554404237_-52.03125,0.012541254125412541,1515,359,235.5835567228496,2.526315789473684,2.6006600660066006,0.9714133048356932,1.5789473684210527,1.5062706270627062,1.0482494580008304,0.06402640264026403,0.0,0.017161716171617162,0.0,-21.711889554404237,-52.03125,True,0.0,0.0
-21.711889554404237_-53.4375,0.012338062924120914,1621,382,224.39480259781703,2.55,2.712523133867983,0.9400841482829201,1.9,1.579272054287477,1.2030859374999998,0.05737199259716225,0.010752688172043012,0.01974090067859346,0.0,-21.711889554404237,-53.4375,True,0.871505376344086,0.0
-21.711889554404237_-54.84375,0.012607449856733524,1745,408,179.56385454162955,2.590909090909091,2.704297994269341,0.9580708547650696,1.4545454545454546,1.5507163323782236,0.9379829335483437,0.06361031518624642,0.009009009009009009,0.028080229226361032,0.0,-21.711889554404237,-54.84375,True,0.7145782145782146,0.0
