station,extreme_pp_rate,days_total,days_with_pp,extreme_pp_value,avg_increasing_chain_length_for_extremes,avg_increasing_chain_length,avg_increasing_chain_length_for_extremes_norm,avg_high_t_chain_length_for_extremes,avg_high_t_chain_length,avg_high_t_chain_length_for_extremes_norm,large_jump_pos,large_jump_pos_extreme_pp_rate,large_jump_neg,large_jump_neg_extreme_pp_rate,lat,lon,is_land,large_jump_pos_extreme_pp_rate_norm,large_jump_neg_extreme_pp_rate_norm
-20.311123512960364_-52.03125,0.0019065776930409914,3147,102,18.116690358147025,3.8333333333333335,3.5605338417540513,1.0766175814368586,2.1666666666666665,1.9526533206228154,1.1096013018714401,0.0438512869399428,0.014492753623188406,0.055290753098188754,0.0,-20.311123512960364,-52.03125,True,7.601449275362319,0.0
-20.311123512960364_-53.4375,0.002220812182741117,3152,123,23.358038160949945,2.7142857142857144,3.481281725888325,0.779679993750895,2.0,1.9359137055837563,1.0331039003605376,0.03965736040609137,0.016,0.05710659898477157,0.0,-20.311123512960364,-53.4375,True,7.204571428571429,0.0
-20.311123512960364_-54.84375,0.00224791265253693,3114,138,16.5808557998389,2.4285714285714284,3.49582530507386,0.6947061756909267,2.0,1.9335260115606936,1.0343796711509716,0.04046242774566474,0.0,0.05555555555555555,0.005780346820809248,-20.311123512960364,-54.84375,True,0.0,2.5714285714285716
-20.311123512960364_-56.25,0.0025673940949935813,3116,148,17.2960274387151,3.0,3.3254172015404366,0.9021424435437174,1.125,1.865211810012837,0.6031486579490709,0.03530166880616174,0.00909090909090909,0.057766367137355584,0.011111111111111112,-20.311123512960364,-56.25,True,3.540909090909091,4.327777777777778
-20.311123512960364_-57.65625,0.0025657472738935213,3118,157,13.07671694085002,2.0,3.129249518922386,0.6391308803935636,1.25,1.8393200769724183,0.6795989537925021,0.03559974342527261,0.0,0.05965362411802438,0.0,-20.311123512960364,-57.65625,True,0.0,0.0
-20.311123512960364_-59.0625,0.002888318356867779,3116,172,14.882793696597219,2.2222222222222223,3.086649550706033,0.7199463968022921,1.2222222222222223,1.8112965340179719,0.6747775415387038,0.03337612323491656,0.0,0.06097560975609756,0.005263157894736842,-20.311123512960364,-59.0625,True,0.0,1.8222222222222222
-20.311123512960364_-60.46875,0.0025534631343759975,3133,146,20.619222801178694,2.0,2.991062879029684,0.6686586276811439,1.375,1.7574210022342802,0.7823964765710134,0.03127992339610597,0.01020408163265306,0.06639004149377593,0.004807692307692308,-20.311123512960364,-60.46875,True,3.9961734693877546,1.8828125
-20.311123512960364_-61.875,0.0022300095571838167,3139,130,15.977996215224266,1.8571428571428572,2.9436126154826376,0.6309059987631417,1.5714285714285714,1.7464160560688118,0.8998019492364622,0.030901561006690028,0.020618556701030927,0.06403313157056387,0.004975124378109453,-20.311123512960364,-61.875,True,9.245949926362297,2.2309879175550815
-20.311123512960364_-63.28125,0.0032102728731942215,3115,197,11.407021712511778,1.7,2.8703049759229535,0.5922715579912761,2.1,1.7130016051364365,1.225918290854573,0.030818619582664526,0.0,0.0651685393258427,0.014778325123152709,-20.311123512960364,-63.28125,True,0.0,4.6034482758620685
-20.311123512960364_-64.6875,0.004303210857332009,3021,256,11.264725914224982,2.3846153846153846,2.6666666666666665,0.8942307692307693,1.4615384615384615,1.709367759020192,0.855016981469344,0.042039059913935785,0.0,0.05461767626613704,0.006060606060606061,-20.311123512960364,-64.6875,True,0.0,1.4083916083916084
-20.311123512960364_-66.09375,0.0015883100381194409,3148,97,10.173912579193711,1.6,2.650571791613723,0.6036433365292426,2.2,1.8831003811944091,1.1682860998650473,0.05082592121982211,0.0,0.043202033036848796,0.0,-20.311123512960364,-66.09375,True,0.0,0.0
-20.311123512960364_-67.5,0.0009430996541967935,3181,60,9.871314140036702,1.3333333333333333,2.5636592266582836,0.5200899243817698,1.0,1.854448286702295,0.5392439396507883,0.049984281672430055,0.0,0.04715498270983967,0.006666666666666667,-20.311123512960364,-67.5,True,0.0,7.068888888888889
-20.311123512960364_-68.90625,0.0009366219169528567,3203,46,8.460316085256636,1.0,2.7211988760536996,0.3674850849013309,2.6666666666666665,1.8420231033406183,1.4476836158192088,0.05401186387761474,0.0,0.04339681548548236,0.007194244604316547,-20.311123512960364,-68.90625,True,0.0,7.6810551558753
-20.311123512960364_-70.3125,0.0006216972334473111,3217,28,4.791346786078066,1.0,3.1538700652782095,0.31707076680465207,1.0,1.7466583773702207,0.5725218010322122,0.05315511345974511,0.0,0.046627292508548336,0.006666666666666667,-20.311123512960364,-70.3125,False,0.0,10.723333333333334
-20.311123512960364_-71.71875,0.0012453300124533001,3212,67,2.9624518705531955,4.0,3.694582814445828,1.0826662172410888,1.0,2.0071606475716064,0.49821622460058945,0.050435865504358655,0.006172839506172839,0.04919053549190536,0.0,-20.311123512960364,-71.71875,False,4.9567901234567895,0.0
-20.311123512960364_-73.125,0.0006228589224540642,3211,24,6.03282661177218,4.0,3.9975085643101838,1.000623247117482,1.0,2.0791030831516664,0.48097663271420005,0.044534412955465584,0.0,0.05418872625350358,0.005747126436781609,-20.311123512960364,-73.125,False,0.0,9.227011494252872
-20.311123512960364_-74.53125,0.00031113876789047915,3214,19,9.124239510856569,1.0,3.7165525824517736,0.26906655504395144,1.0,2.0037336652146855,0.4990683229813665,0.056004978220286245,0.0,0.043559427504667084,0.0,-20.311123512960364,-74.53125,False,0.0,0.0
-20.311123512960364_-75.9375,0.0006232471174820816,3209,28,7.473001233302057,4.0,5.263010283577438,0.7600213156492391,1.0,2.1732626986600185,0.46013765414396335,0.05359925210345902,0.0,0.046120286693674045,0.0,-20.311123512960364,-75.9375,False,0.0,0.0
-21.711889554404237_-52.03125,0.002890173410404624,3114,161,21.766840294003487,2.0,3.351316634553629,0.5967803756228439,1.6666666666666667,1.9059087989723829,0.8744734625105307,0.04271034039820167,0.007518796992481203,0.05748233782915864,0.00558659217877095,-21.711889554404237,-52.03125,True,2.601503759398496,1.9329608938547487
-21.711889554404237_-53.4375,0.0032562683165092803,3071,186,21.308403834700584,1.9,3.2953435363073917,0.5765711462450592,1.3,1.9205470530771735,0.676890471346219,0.041028980788016936,0.007936507936507936,0.05535656138065777,0.0058823529411764705,-21.711889554404237,-53.4375,True,2.437301587301587,1.806470588235294
-21.711889554404237_-54.84375,0.0035935968637700096,3061,205,18.643047893419862,2.5454545454545454,3.2130022868343677,0.7922355224846328,1.0909090909090908,1.9016661221822935,0.5736596336149676,0.03822280300555374,0.0,0.05488402482848742,0.011904761904761904,-21.711889554404237,-54.84375,True,0.0,3.3127705627705626
-21.711889554404237_-56.25,0.0035575679172056922,3092,208,22.904708795249462,2.6363636363636362,3.1604139715394566,0.8341830089681093,1.1818181818181819,1.905562742561449,0.620193791273221,0.03492884864165589,0.018518518518518517,0.05789133247089263,0.0111731843575419,-21.711889554404237,-56.25,True,5.205387205387205,3.1406805485017775
