station,extreme_pp_rate,days_total,days_with_pp,extreme_pp_value,avg_increasing_chain_length_for_extremes,avg_increasing_chain_length,avg_increasing_chain_length_for_extremes_norm,avg_high_t_chain_length_for_extremes,avg_high_t_chain_length,avg_high_t_chain_length_for_extremes_norm,large_jump_pos,large_jump_pos_extreme_pp_rate,large_jump_neg,large_jump_neg_extreme_pp_rate,lat,lon,is_land,large_jump_pos_extreme_pp_rate_norm,large_jump_neg_extreme_pp_rate_norm
-20.261780104712045_-52.5,0.0015527950310559005,3220,94,24.0364040248096,3.6,3.3211180124223603,1.083972320927623,2.2,1.763975155279503,1.2471830985915493,0.04161490683229813,0.007462686567164179,0.0577639751552795,0.0,-20.261780104712045,-52.5,True,4.8059701492537314,0.0
-20.261780104712045_-53.75,0.002173913043478261,3220,126,20.65279232338071,4.571428571428571,3.3468944099378883,1.3658717639417277,2.0,1.795031055900621,1.1141868512110726,0.040993788819875775,0.007575757575757576,0.058695652173913045,0.0,-20.261780104712045,-53.75,True,3.484848484848485,0.0
-20.261780104712045_-55.0,0.002173913043478261,3220,138,20.861040288582444,2.4285714285714284,3.3260869565217392,0.7301587301587301,1.0,1.7819875776397516,0.5611711397699547,0.03975155279503106,0.0,0.0593167701863354,0.010471204188481676,-20.261780104712045,-55.0,True,0.0,4.816753926701571
-20.261780104712045_-56.25,0.002173913043478261,3220,139,19.827505107969046,1.1428571428571428,3.1661490683229814,0.3609612555174105,1.0,1.7670807453416149,0.5659050966608085,0.03881987577639751,0.0,0.06024844720496894,0.005154639175257732,-20.261780104712045,-56.25,True,0.0,2.3711340206185567
-20.261780104712045_-57.5,0.002484472049689441,3220,154,19.78714750148356,2.25,3.14472049689441,0.7154848903811969,1.5,1.7229813664596274,0.8705839942321557,0.035093167701863354,0.0,0.06304347826086956,0.0049261083743842365,-20.261780104712045,-57.5,True,0.0,1.982758620689655
-20.261780104712045_-58.75,0.002484472049689441,3220,159,17.954433895647526,2.375,3.1,0.7661290322580645,1.875,1.720807453416149,1.0896047644829454,0.03602484472049689,0.0,0.06273291925465839,0.009900990099009901,-20.261780104712045,-58.75,True,0.0,3.985148514851485
-20.261780104712045_-60.0,0.002484472049689441,3220,146,16.003541741520166,1.75,3.0667701863354035,0.5706329113924051,1.875,1.7090062111801243,1.0971288388151916,0.04161490683229813,0.0,0.055900621118012424,0.011111111111111112,-20.261780104712045,-60.0,True,0.0,4.472222222222222
-20.261780104712045_-61.25,0.002173913043478261,3220,131,16.21883804909885,1.7142857142857142,2.9944099378881988,0.5724953329184816,1.4285714285714286,1.6779503105590061,0.8513788635942995,0.03944099378881988,0.0,0.058695652173913045,0.010582010582010581,-20.261780104712045,-61.25,True,0.0,4.867724867724867
-20.261780104712045_-62.5,0.0018633540372670807,3220,107,14.287893986329436,1.3333333333333333,2.8680124223602483,0.4648980328460567,1.0,1.6434782608695653,0.6084656084656085,0.03260869565217391,0.0,0.06552795031055901,0.004739336492890996,-20.261780104712045,-62.5,True,0.0,2.543443917851501
-20.261780104712045_-63.75,0.0027950310559006213,3220,162,12.000001547858119,1.3333333333333333,2.563975155279503,0.5200258397932817,1.1111111111111112,1.5847826086956522,0.7011126352690139,0.022049689440993787,0.0,0.07763975155279502,0.008,-20.261780104712045,-63.75,True,0.0,2.862222222222222
-20.261780104712045_-65.0,0.002484472049689441,3220,156,9.913861937820911,1.75,2.3835403726708075,0.7342019543973941,1.25,1.6760869565217391,0.7457846952010376,0.038198757763975154,0.0,0.05962732919254658,0.010416666666666666,-20.261780104712045,-65.0,True,0.0,4.192708333333333
-20.261780104712045_-66.25,0.0006211180124223603,3220,22,8.125020051375031,1.5,2.8953416149068323,0.5180735814651936,1.0,1.8754658385093168,0.5332008610697135,0.05,0.0,0.04875776397515528,0.0,-20.261780104712045,-66.25,True,0.0,0.0
-20.261780104712045_-67.5,0.00031055900621118014,3220,18,8.631193125620484,2.0,2.729813664596273,0.732650739476678,1.0,1.8027950310559007,0.5546942291128337,0.05062111801242236,0.0,0.04937888198757764,0.0,-20.261780104712045,-67.5,True,0.0,0.0
-20.261780104712045_-68.75,0.00031055900621118014,3220,14,6.8237698171287775,2.0,2.6618012422360247,0.7513709018784273,5.0,1.7316770186335404,2.8873744619799138,0.04782608695652174,0.0,0.05217391304347826,0.0,-20.261780104712045,-68.75,True,0.0,0.0
-20.261780104712045_-70.0,0.00031055900621118014,3220,6,6.030951999127865,3.0,2.495031055900621,1.2023898431665423,7.0,1.7434782608695651,4.014962593516209,0.05341614906832298,0.0,0.04565217391304348,0.0,-20.261780104712045,-70.0,True,0.0,0.0
-20.261780104712045_-71.25,0.003105590062111801,3220,199,1.752282225061208,3.8,2.803416149068323,1.3554890882906834,4.6,1.8509316770186335,2.485234899328859,0.052795031055900624,0.0,0.04782608695652174,0.006493506493506494,-20.261780104712045,-71.25,False,0.0,2.0909090909090913
-20.261780104712045_-72.5,0.0018633540372670807,3220,104,2.3462326847948134,3.8333333333333335,4.054968944099379,0.945342217456792,5.166666666666667,2.020186335403727,2.557519856520625,0.04472049689440994,0.0,0.055279503105590065,0.0056179775280898875,-20.261780104712045,-72.5,False,0.0,3.0149812734082397
-20.261780104712045_-73.75,0.0012422360248447205,3220,73,2.8792783501558006,2.75,4.10248447204969,0.6703255109765329,5.5,1.9869565217391305,2.7680525164113785,0.04875776397515528,0.0,0.0515527950310559,0.006024096385542169,-20.261780104712045,-73.75,False,0.0,4.849397590361446
-20.261780104712045_-75.0,0.0015527950310559005,3220,90,2.5255866581574082,4.8,4.151863354037267,1.1561074126711048,4.6,1.9714285714285715,2.333333333333333,0.05372670807453416,0.005780346820809248,0.046894409937888196,0.006622516556291391,-20.261780104712045,-75.0,False,3.722543352601156,4.264900662251656
-21.204188481675388_-52.5,0.002173913043478261,3220,121,21.6818880289793,3.0,3.348757763975155,0.8958545859222852,2.0,1.7692546583850932,1.1304195190451114,0.04316770186335404,0.007194244604316547,0.0562111801242236,0.0055248618784530384,-21.204188481675388,-52.5,True,3.309352517985612,2.5414364640883975
-21.204188481675388_-53.75,0.002484472049689441,3220,144,19.78337438777089,1.875,3.212111801242236,0.5837281253021367,1.0,1.7664596273291926,0.5661040787623066,0.04161490683229813,0.0,0.05745341614906832,0.010810810810810811,-21.204188481675388,-53.75,True,0.0,4.351351351351352
-21.204188481675388_-55.0,0.0027950310559006213,3220,163,20.74594460427761,1.6666666666666667,3.2208074534161493,0.5174685822646482,1.0,1.7953416149068322,0.5569970593322955,0.037577639751552795,0.0,0.061801242236024845,0.02512562814070352,-21.204188481675388,-55.0,True,0.0,8.989391401451703
-21.204188481675388_-56.25,0.0027950310559006213,3220,179,25.909709092229605,1.3333333333333333,3.096583850931677,0.4305820211947982,1.2222222222222223,1.758695652173913,0.6949594835874194,0.03602484472049689,0.0,0.0624223602484472,0.024875621890547265,-21.204188481675388,-56.25,True,0.0,8.899944720840244
-21.204188481675388_-57.5,0.003105590062111801,3220,191,22.13641181588173,2.1,3.0881987577639753,0.6800080450522928,1.7,1.703416149068323,0.9979945305378304,0.034782608695652174,0.0,0.06397515527950311,0.009708737864077669,-21.204188481675388,-57.5,True,0.0,3.1262135922330097
-21.204188481675388_-58.75,0.0027950310559006213,3220,170,18.675654334947467,1.2222222222222223,3.0922360248447207,0.3952551527122181,1.4444444444444444,1.704968944099379,0.8471969236996559,0.03571428571428571,0.0,0.06304347826086956,0.009852216748768473,-21.204188481675388,-58.75,True,0.0,3.524904214559387
-21.204188481675388_-60.0,0.002484472049689441,3220,148,16.554987151175737,1.75,3.0341614906832297,0.5767656090071648,1.375,1.696273291925466,0.8106005126327352,0.038198757763975154,0.0,0.0593167701863354,0.010471204188481676,-21.204188481675388,-60.0,True,0.0,4.214659685863874
-21.204188481675388_-61.25,0.0018633540372670807,3220,116,14.44792253896594,1.6666666666666667,2.9422360248447204,0.566462599394835,1.1666666666666667,1.6583850931677018,0.7034956304619226,0.03540372670807453,0.008771929824561403,0.0624223602484472,0.004975124378109453,-21.204188481675388,-61.25,True,4.707602339181286,2.669983416252073
-21.204188481675388_-62.5,0.0015527950310559005,3220,96,13.205806212499738,1.8,2.791304347826087,0.6448598130841122,1.2,1.6248447204968943,0.7385321100917431,0.034782608695652174,0.008928571428571428,0.06428571428571428,0.0,-21.204188481675388,-62.5,True,5.75,0.0
-21.204188481675388_-63.75,0.002173913043478261,3220,136,10.927102016285062,1.4285714285714286,2.606521739130435,0.5480757774335756,1.4285714285714286,1.558385093167702,0.9166998804304504,0.021739130434782608,0.0,0.07763975155279502,0.0,-21.204188481675388,-63.75,True,0.0,0.0
