station,extreme_pp_rate,days_total,days_with_pp,extreme_pp_value,avg_increasing_chain_length_for_extremes,avg_increasing_chain_length,avg_increasing_chain_length_for_extremes_norm,avg_high_t_chain_length_for_extremes,avg_high_t_chain_length,avg_high_t_chain_length_for_extremes_norm,large_jump_pos,large_jump_pos_extreme_pp_rate,large_jump_neg,large_jump_neg_extreme_pp_rate,lat,lon,is_land,large_jump_pos_extreme_pp_rate_norm,large_jump_neg_extreme_pp_rate_norm
-20.261780104712045_-52.5,0.011225997045790252,3385,723,236.8020305817481,3.0789473684210527,3.575184638109306,0.8611995407457662,1.5526315789473684,1.6906942392909896,0.9183396635919696,0.09335302806499261,0.022151898734177215,0.022451994091580503,0.0,-20.261780104712045,-52.5,True,1.9732678214523651,0.0
-20.261780104712045_-53.75,0.011661807580174927,3430,755,229.04800734249875,3.575,3.3705539358600585,1.0606565176022835,1.425,1.698542274052478,0.8389546858908342,0.09008746355685131,0.006472491909385114,0.019533527696793004,0.0,-20.261780104712045,-53.75,True,0.5550161812297735,0.0
-20.261780104712045_-55.0,0.011580931861028817,3713,825,206.4105077792192,3.255813953488372,3.250740640991112,1.0015606635710295,1.5116279069767442,1.665768920010773,0.9074655486830479,0.07648801508214383,0.014084507042253521,0.016428763802854834,0.0,-20.261780104712045,-55.0,True,1.2161808057648216,0.0
-20.261780104712045_-56.25,0.011742151929067817,4173,935,156.15993724786676,3.0816326530612246,3.0352264557872033,1.0152892042653159,1.469387755102041,1.6331176611550444,0.8997439621483223,0.0857895998082914,0.0223463687150838,0.021806853582554516,0.0,-20.261780104712045,-56.25,True,1.9030897275111163,0.0
-20.261780104712045_-57.5,0.010805084745762712,4720,994,123.39187733014114,3.0980392156862746,3.0658898305084747,1.0104861514780745,1.5294117647058822,1.666313559322034,0.917841516771998,0.0875,0.009685230024213076,0.028389830508474576,0.0,-20.261780104712045,-57.5,True,0.896358543417367,0.0
-20.261780104712045_-58.75,0.009854964670881369,5378,1036,89.22970957355574,3.2830188679245285,2.980661956117516,1.1014395178850975,1.9433962264150944,1.6757158795091112,1.1597408905526385,0.07865377463741167,0.004728132387706856,0.029378951283004835,0.0,-20.261780104712045,-58.75,True,0.47977162228466924,0.0
-20.261780104712045_-60.0,0.009345794392523364,5778,1047,74.94773080106825,3.0,2.9397715472481827,1.0204874602613918,2.0185185185185186,1.6934925579785394,1.1919264179867144,0.07597784700588439,0.004555808656036446,0.03772931810314988,0.0,-20.261780104712045,-60.0,True,0.4874715261958998,0.0
-20.261780104712045_-61.25,0.009009009009009009,6105,1065,69.4738631369546,3.018181818181818,2.9416871416871415,1.0260036750375856,1.8909090909090909,1.7136773136773136,1.1034219078570064,0.06945126945126945,0.007075471698113208,0.04455364455364455,0.003676470588235294,-20.261780104712045,-61.25,True,0.7853773584905661,0.40808823529411764
-20.261780104712045_-62.5,0.009282700421940928,5925,1066,73.13184383965563,3.0545454545454547,2.9262447257383966,1.0438448389769188,2.3454545454545452,1.6729113924050634,1.4020195905789123,0.06345991561181434,0.007978723404255319,0.048776371308016875,0.0034602076124567475,-20.261780104712045,-62.5,True,0.8595261121856866,0.37275872916011327
-20.261780104712045_-63.75,0.010961737331954498,4835,1035,118.01338561344892,2.811320754716981,3.029989658738366,0.9278317985704166,2.3207547169811322,1.5712512926577042,1.4770105379233611,0.04984488107549121,0.008298755186721992,0.03453981385729059,0.0,-20.261780104712045,-63.75,True,0.7570656854302044,0.0
-20.261780104712045_-65.0,0.013513513513513514,2960,758,253.90927597763948,3.175,2.7652027027027026,1.1481979230299328,1.975,1.5206081081081082,1.2988224838924682,0.057432432432432436,0.01764705882352941,0.023310810810810812,0.014492753623188406,-20.261780104712045,-65.0,True,1.3058823529411763,1.072463768115942
