station,extreme_pp_rate,days_total,days_with_pp,extreme_pp_value,avg_increasing_chain_length_for_extremes,avg_increasing_chain_length,avg_increasing_chain_length_for_extremes_norm,avg_high_t_chain_length_for_extremes,avg_high_t_chain_length,avg_high_t_chain_length_for_extremes_norm,large_jump_pos,large_jump_pos_extreme_pp_rate,large_jump_neg,large_jump_neg_extreme_pp_rate,lat,lon,is_land,large_jump_pos_extreme_pp_rate_norm,large_jump_neg_extreme_pp_rate_norm
-20.261780104712045_-52.5,0.0011541420877147987,7798,166,33.20998476119712,2.4444444444444446,3.365093613747115,0.7264120185121672,3.3333333333333335,1.8480379584508848,1.8037147549325747,0.0478327776352911,0.005361930294906166,0.05385996409335727,0.002380952380952381,-20.261780104712045,-52.5,True,4.645814715519809,2.0629629629629633
-20.261780104712045_-53.75,0.0012853470437017994,7780,190,35.85593733005226,1.8,3.337917737789203,0.5392583464900458,2.4,1.8532133676092546,1.2950478568456096,0.04665809768637532,0.005509641873278237,0.05334190231362468,0.004819277108433735,-20.261780104712045,-53.75,True,4.2865013774104685,3.7493975903614465
-20.261780104712045_-55.0,0.0014173431258858395,7761,206,44.42664119414985,3.090909090909091,3.2725164282953227,0.9445052939028843,2.272727272727273,1.826697590516686,1.2441726996992568,0.04367993815229996,0.0029498525073746312,0.05527638190954774,0.0,-20.261780104712045,-55.0,True,2.081255028157683,0.0
-20.261780104712045_-56.25,0.001421923474663909,7736,218,49.611919722519815,3.272727272727273,3.1768355739400205,1.0301846590909092,2.5454545454545454,1.798733195449845,1.4151373599451214,0.04007238883143743,0.0032258064516129032,0.06127197518097208,0.002109704641350211,-20.261780104712045,-56.25,True,2.2686217008797653,1.4836977368622937
-20.261780104712045_-57.5,0.0015493867010974822,7745,228,47.83901895862073,4.166666666666667,3.0883150419625567,1.3491715093997798,2.5,1.763202065848935,1.4178749267721147,0.04260813428018076,0.0,0.05823111684958038,0.0,-20.261780104712045,-57.5,True,0.0,0.0
-20.261780104712045_-58.75,0.0016774193548387097,7750,246,34.79343790677376,3.6923076923076925,3.0544516129032258,1.2088283463748148,1.7692307692307692,1.7175483870967743,1.0300907866830786,0.03819354838709677,0.006756756756756757,0.06258064516129032,0.0,-20.261780104712045,-58.75,True,4.028066528066528,0.0
-20.261780104712045_-60.0,0.001670521716782318,7782,239,32.19287475803867,3.230769230769231,3.0106656386533026,1.0731079497138654,1.3076923076923077,1.6945515291698792,0.7717040675257101,0.047802621434078645,0.008064516129032258,0.052428681572860444,0.0,-20.261780104712045,-60.0,True,4.827543424317618,0.0
-20.261780104712045_-61.25,0.0014109799897383272,7796,207,31.89199518528767,3.0,2.918804515135967,1.0278180619644035,1.3636363636363635,1.6487942534633144,0.8270506527858325,0.04681888147768086,0.0027397260273972603,0.05438686505900462,0.0,-20.261780104712045,-61.25,True,1.9417185554171856,0.0
-20.261780104712045_-62.5,0.0012795905310300703,7815,184,27.448682935209945,2.4,2.748176583493282,0.8733063276993993,1.0,1.600895713371721,0.6246503077291984,0.03941138835572617,0.0,0.061036468330134354,0.0020964360587002098,-20.261780104712045,-62.5,True,0.0,1.638364779874214
-20.261780104712045_-63.75,0.0016649590163934425,7808,241,16.720604023430496,2.6153846153846154,2.542264344262295,1.028761867855067,1.0769230769230769,1.5252305327868851,0.7060723305580137,0.025614754098360656,0.0,0.07351434426229508,0.0,-20.261780104712045,-63.75,True,0.0,0.0
-20.261780104712045_-65.0,0.001407909893766799,7813,209,15.657660778379068,1.5454545454545454,2.3544093178036607,0.6564086090587857,1.0,1.6603097401766287,0.6022972556275054,0.04108537053628568,0.0,0.05785229745296301,0.004424778761061947,-20.261780104712045,-65.0,True,0.0,3.142799678197908
-20.261780104712045_-66.25,0.0005073566717402334,7884,70,18.5263994615525,2.0,2.9320142059868086,0.6821249351098806,1.0,1.8788685946220194,0.5322351988118544,0.053779807204464736,0.0,0.045662100456621,0.002777777777777778,-20.261780104712045,-66.25,True,0.0,5.4750000000000005
-20.261780104712045_-67.5,0.000380517503805175,7884,49,15.783560159616172,1.6666666666666667,2.7510147133434804,0.6058370602609618,1.0,1.8551496702181633,0.5390400656365377,0.05111618467782851,0.0,0.04819888381532217,0.0,-20.261780104712045,-67.5,True,0.0,0.0
-20.261780104712045_-68.75,0.0003803727653100038,7887,45,21.495084324851632,1.6666666666666667,2.6196272346899963,0.6362228352935483,1.0,1.807024217066058,0.5533960145944429,0.051857487003930516,0.0,0.04767338658552048,0.0026595744680851063,-20.261780104712045,-68.75,True,0.0,6.992021276595744
-20.261780104712045_-70.0,0.00025316455696202533,7900,27,15.412125654984266,2.0,2.469620253164557,0.8098411071245516,3.5,1.7331645569620253,2.0194274028629855,0.0489873417721519,0.0,0.051012658227848104,0.0,-20.261780104712045,-70.0,True,0.0,0.0
-20.261780104712045_-71.25,0.003778994005733646,7674,565,4.863883514190093,3.4827586206896552,2.8808965337503256,1.208914856846952,3.5517241379310347,1.9168621318738597,1.8528845026840763,0.05433932759968726,0.007194244604316547,0.04209017461558509,0.006191950464396285,-20.261780104712045,-71.25,False,1.9037459687422476,1.63851820219921
