station,extreme_pp_rate,days_total,days_with_pp,extreme_pp_value,avg_increasing_chain_length_for_extremes,avg_increasing_chain_length,avg_increasing_chain_length_for_extremes_norm,avg_high_t_chain_length_for_extremes,avg_high_t_chain_length,avg_high_t_chain_length_for_extremes_norm,large_jump_pos,large_jump_pos_extreme_pp_rate,large_jump_neg,large_jump_neg_extreme_pp_rate,lat,lon,is_land,large_jump_pos_extreme_pp_rate_norm,large_jump_neg_extreme_pp_rate_norm
-20.261780104712045_-52.5,0.0387947756368809,7733,5992,26.66670810431242,1.88,2.487262381999224,0.7558510970157013,1.8633333333333333,1.7910254752360015,1.0403723225030084,0.04396741238846502,0.03235294117647059,0.05806284753653175,0.0757238307349666,-20.261780104712045,-52.5,True,0.833950980392157,1.9519079435783222
-20.261780104712045_-53.75,0.03905340747446011,7733,6022,25.6569167599082,1.7847682119205297,2.4052760894866156,0.7420221818699708,1.7152317880794703,1.7674899780162938,0.9704336711456353,0.044096728307254626,0.03225806451612903,0.057157636105004524,0.09502262443438914,-20.261780104712045,-53.75,True,0.825998718222602,2.433145545533547
-20.261780104712045_-55.0,0.039441355230828916,7733,6084,29.684945102781057,1.8229508196721311,2.346566662356136,0.7768587395858366,1.7311475409836066,1.7897323160481056,0.9672661802331091,0.04655373076425708,0.016666666666666666,0.055088581404370875,0.08450704225352113,-20.261780104712045,-55.0,True,0.42256830601092893,2.1425998614638653
-20.261780104712045_-56.25,0.03737230053019527,7733,5770,31.979893427342176,1.8754325259515572,2.395448079658606,0.7829151221757391,1.5951557093425606,1.7619293935083409,0.9053459890162218,0.04370878055088581,0.03550295857988166,0.057028320186214926,0.08163265306122448,-20.261780104712045,-56.25,True,0.9499805491288057,2.1843090177247366
-20.261780104712045_-57.5,0.03284624337255916,7733,5073,32.08686579018831,2.02755905511811,2.643605327815854,0.7669673811685344,2.141732283464567,1.8219319798267166,1.1755281246384768,0.044096728307254626,0.02346041055718475,0.05754558386137334,0.08764044943820225,-20.261780104712045,-57.5,True,0.714249428498857,2.668203131911882
-20.261780104712045_-58.75,0.03323419112892797,7733,5117,33.652304392308,2.0817120622568095,2.575197206776154,0.8083699596982981,2.066147859922179,1.7761541445751972,1.1632705788699098,0.03491529807319281,0.018518518518518517,0.06543385490753911,0.07707509881422925,-20.261780104712045,-58.75,True,0.5572128548782246,2.319150735916089
-20.261780104712045_-60.0,0.028966765808871073,7733,4494,30.298470240086317,2.107142857142857,2.701409543514807,0.7800160705737537,2.2455357142857144,1.8043450148713307,1.2445157083474112,0.03698435277382646,0.017482517482517484,0.06349411612569507,0.05091649694501019,-20.261780104712045,-60.0,True,0.6035370879120879,1.7577556735525168
-20.261780104712045_-61.25,0.025604551920341393,7733,3964,32.42930509150028,1.9292929292929293,2.692486745118324,0.716546862409213,1.9444444444444444,1.8011121169015907,1.0795799029931712,0.037760248286564074,0.010273972602739725,0.06284753653174706,0.047325102880658436,-20.261780104712045,-61.25,True,0.4012557077625571,1.848308184727938
-20.261780104712045_-62.5,0.025475236001551792,7733,3946,43.505265936255455,1.6903553299492386,2.4523470839260315,0.6892806246834772,1.6395939086294415,1.7417561101771628,0.941345288843379,0.03814819604293288,0.013559322033898305,0.062330272856588646,0.05394190871369295,-20.261780104712045,-62.5,True,0.5322550116149014,2.117425279609074
-20.261780104712045_-63.75,0.04021725074356653,7733,6225,57.35261086374521,1.6366559485530547,2.1620328462433727,0.7569986512447379,1.5209003215434083,1.6770981507823612,0.9068642290458151,0.045131255657571444,0.011461318051575931,0.05521789732316048,0.12177985948477751,-20.261780104712045,-63.75,True,0.28498512055574493,3.02805033246233
-20.261780104712045_-65.0,0.0474589421957843,7733,7322,51.39350015670061,1.651226158038147,2.091555670503039,0.7894727266049828,1.5286103542234333,1.6031294452347085,0.9535164853762853,0.04991594465278676,0.03367875647668394,0.05133841975947239,0.12090680100755667,-20.261780104712045,-65.0,True,0.7096398469596645,2.547608425589743
-20.261780104712045_-66.25,0.04629509892667787,7733,7147,35.183932073414326,2.0027932960893855,2.129315918789603,0.9405806242353466,1.812849162011173,1.6480020690547006,1.1000284502379474,0.049786628733997154,0.05454545454545454,0.051597051597051594,0.07769423558897243,-20.261780104712045,-66.25,True,1.1782122905027932,1.6782388933226922
-20.261780104712045_-67.5,0.043320832794517004,7733,6679,27.01031668111682,2.1253731343283584,2.3040217250743567,0.922462280280698,1.8328358208955224,1.763481184533816,1.039328254233708,0.04939868097762835,0.07853403141361257,0.051467735678261996,0.04522613065326633,-20.261780104712045,-67.5,True,1.8128467609596,1.0439810995274883
-20.261780104712045_-68.75,0.029613345402819086,7733,4561,16.446626745164394,2.2139737991266375,2.3402301823354454,0.9460495877021765,1.3799126637554586,1.9681882839777576,0.7011080570841631,0.0387947756368809,0.06333333333333334,0.06245958877537825,0.020703933747412008,-20.261780104712045,-68.75,True,2.1386754002911212,0.6991420072870614
-20.261780104712045_-70.0,0.001163843269106427,7733,175,10.202604462392628,1.6666666666666667,2.390146126988232,0.697307435661599,1.5555555555555556,1.8272339324970903,0.8513171345443108,0.05392473813526445,0.0,0.04668304668304668,0.002770083102493075,-20.261780104712045,-70.0,True,0.0,2.3801169590643276
-20.261780104712045_-71.25,0.002198370619423251,7733,324,2.1678191609680653,4.764705882352941,4.991335833441097,0.9545953310595184,4.470588235294118,2.177550756498125,2.053035146002103,0.055347213241950084,0.0,0.045131255657571444,0.0,-20.261780104712045,-71.25,False,0.0,0.0
-20.261780104712045_-72.5,0.000129315918789603,7733,19,1.533832645509392,7.0,6.690676322255269,1.046232049324494,1.0,2.296780033622139,0.43539215134282977,0.0561231087546877,0.0,0.04370878055088581,0.0,-20.261780104712045,-72.5,False,0.0,0.0
-20.261780104712045_-73.75,0.000258631837579206,7733,23,1.4782595273572952,7.0,6.791801370748739,1.0306544049047048,5.0,2.3040217250743567,2.1701184262221473,0.06336480020690546,0.0,0.03724298461140566,0.0,-20.261780104712045,-73.75,False,0.0,0.0
-20.261780104712045_-75.0,0.000258631837579206,7733,30,1.490735256811604,7.0,6.696366222682012,1.045343066257266,3.0,2.290314237682659,1.3098639263734402,0.06530453898874951,0.0,0.03530324582956162,0.0,-20.261780104712045,-75.0,False,0.0,0.0
-21.204188481675388_-52.5,0.038018880124143284,7733,5861,27.99796974286437,1.9557823129251701,2.430622009569378,0.8046427232310248,1.8639455782312926,1.7791284107073582,1.0476734377425923,0.04603646708909867,0.033707865168539325,0.0561231087546877,0.08525345622119816,-21.204188481675388,-52.5,True,0.8866085760146755,2.2423978808113105
-21.204188481675388_-53.75,0.038665459718091294,7733,5963,25.860388297587633,1.7123745819397993,2.4369584895900687,0.7026687525678147,1.8127090301003344,1.7918013707487392,1.0116685139842585,0.043579464632096214,0.03857566765578635,0.05832147937411095,0.09977827050997783,-21.204188481675388,-53.75,True,0.9976777190039996,2.5805530630557145
-21.204188481675388_-55.0,0.0387947756368809,7733,5985,26.64952352643013,1.7533333333333334,2.412388465020044,0.7268038952917003,1.7433333333333334,1.8221906116642959,0.9567239136091595,0.04345014871330661,0.02976190476190476,0.05780421569895254,0.10738255033557047,-21.204188481675388,-55.0,True,0.7671626984126984,2.767964205816555
-21.204188481675388_-56.25,0.03737230053019527,7733,5776,28.410535398870707,1.8373702422145328,2.416526574421311,0.7603352107371426,1.6782006920415224,1.797103323419113,0.9338365079914437,0.04254493728177939,0.030395136778115502,0.05870942713047976,0.08370044052863436,-21.204188481675388,-56.25,True,0.8133065491528276,2.2396384311693063
