station,extreme_pp_rate,days_total,days_with_pp,extreme_pp_value,avg_increasing_chain_length_for_extremes,avg_increasing_chain_length,avg_increasing_chain_length_for_extremes_norm,avg_high_t_chain_length_for_extremes,avg_high_t_chain_length,avg_high_t_chain_length_for_extremes_norm,large_jump_pos,large_jump_pos_extreme_pp_rate,large_jump_neg,large_jump_neg_extreme_pp_rate,lat,lon,is_land,large_jump_pos_extreme_pp_rate_norm,large_jump_neg_extreme_pp_rate_norm
-20.0_-52.0,0.0027679919476597,3974,213,37.2252458,3.272727272727273,3.1258178158027174,1.0469987265994352,2.272727272727273,1.7186713638651232,1.3223745507786506,0.0357322596879718,0.0070422535211267,0.0616507297433316,0.0,-20.0,-52.0,True,2.5441741357234315,0.0
-20.0_-52.25,0.0030449124587668,3941,226,42.926788,3.0833333333333335,3.1857396599847756,0.9678547723350592,2.3333333333333335,1.7234204516620146,1.3538967412642329,0.03577772139051,0.0,0.0608982491753362,0.0,-20.0,-52.25,True,0.0,0.0
-20.0_-52.5,0.0030565461029037,3926,230,50.042629,3.4166666666666665,3.2223637289862457,1.0602982636418727,2.25,1.726439123790117,1.3032605488344644,0.0354049923586347,0.0,0.0626591951095262,0.0,-20.0,-52.5,True,0.0,0.0
-20.0_-52.75,0.0032953105196451,3945,243,43.48898,3.6153846153846154,3.2195183776932828,1.1229582164941585,1.7692307692307692,1.7361216730038025,1.0190707234071228,0.0362484157160963,0.0,0.0608365019011406,0.0,-20.0,-52.75,True,0.0,0.0
-20.0_-53.0,0.0032861476238624,3956,245,40.135383,3.4615384615384617,3.210819009100101,1.078085825369718,1.9230769230769231,1.7386248736097067,1.106090768783412,0.038169868554095,0.0,0.0601617795753286,0.0,-20.0,-53.0,True,0.0,0.0
-20.0_-53.25,0.0035623409669211,3930,261,35.79855,3.642857142857143,3.1791348600508904,1.1458643005785634,2.2142857142857144,1.737404580152672,1.274479035902586,0.0389312977099236,0.0,0.0592875318066157,0.0,-20.0,-53.25,True,0.0,0.0
-20.0_-53.5,0.0038343558282208,3912,278,35.6187823,3.2,3.1697341513292434,1.0095483870967743,2.066666666666667,1.7543456032719835,1.1780271018505026,0.0385991820040899,0.0,0.0570040899795501,0.0,-20.0,-53.5,True,0.0,0.0
-20.0_-53.75,0.0035814786390381,3909,268,36.047936,2.857142857142857,3.1678178562292145,0.9019277581015448,1.3571428571428572,1.7579943719621387,0.7719836188258773,0.0393962650294192,0.0,0.0557687388078792,0.0,-20.0,-53.75,True,0.0,0.0
-20.0_-54.0,0.003585147247119,3905,277,38.574219,3.4285714285714284,3.1574903969270167,1.0858533194299618,1.8571428571428572,1.7623559539052496,1.0537841989454897,0.0396927016645326,0.0,0.0553137003841229,0.0,-20.0,-54.0,True,0.0,0.0
-20.0_-54.25,0.0038669760247486,3879,289,48.0108263,2.8,3.1740139211136893,0.8821637426900584,1.8,1.7654034544985822,1.0195969626168224,0.0404743490590358,0.0,0.0533642691415313,0.0,-20.0,-54.25,True,0.0,0.0
-20.0_-54.5,0.0035677879714576,3924,267,45.115947899999995,3.0,3.1345565749235473,0.9570731707317074,1.7142857142857142,1.779816513761468,0.963181148748159,0.0379714576962283,0.0,0.0570846075433231,0.0,-20.0,-54.5,True,0.0,0.0
-20.0_-54.75,0.0035696073431922,3922,270,47.277927000000005,2.7857142857142856,3.1149923508414075,0.8942924964043077,1.7142857142857142,1.7656807751147374,0.97089221248066,0.0367159612442631,0.0,0.0578786333503314,0.0,-20.0,-54.75,True,0.0,0.0
-20.0_-55.0,0.0038590172369436,3887,296,53.7147526,2.533333333333333,3.1080524826344225,0.8150870512926633,1.6666666666666667,1.7597118600463082,0.9471247563352828,0.0373038332904553,0.0,0.0594288654489323,0.0,-20.0,-55.0,True,0.0,0.0
-20.0_-55.25,0.0041173443129181,3886,308,55.924892199999995,2.375,3.0823468862583634,0.7705167807647353,1.5,1.761708697889861,0.8514460999123575,0.0373134328358208,0.0068965517241379,0.0607308286155429,0.0,-20.0,-55.25,True,1.6749999999999998,0.0
-20.0_-55.5,0.0041025641025641,3900,308,58.7430007,2.375,3.0507692307692307,0.7784921835602623,1.625,1.7712820512820513,0.9174145917776492,0.0394871794871794,0.0064935064935064,0.0605128205128205,0.0,-20.0,-55.5,True,1.582792207792208,0.0
-20.0_-55.75,0.0041162850527399,3887,307,59.1728689,2.9375,3.0710059171597632,0.9565269749518304,1.0,1.7756624646256751,0.5631700956244566,0.0393619758168253,0.0,0.0620015436068947,0.0041493775933609,-20.0,-55.75,True,0.0,1.008039419087137
-20.0_-56.0,0.0041386445938954,3866,316,58.2592475,3.1875,3.078375581996896,1.0354487017897656,1.0,1.7529746508018624,0.5704589051202597,0.0382824624935333,0.0,0.0662183135023279,0.00390625,-20.0,-56.0,True,0.0,0.94384765625
-20.0_-56.25,0.0043927648578811,3870,323,55.9263229,2.4705882352941178,3.066666666666667,0.8056265984654731,1.5294117647058822,1.769250645994832,0.8644404161547778,0.0364341085271317,0.0,0.0643410852713178,0.0040160642570281,-20.0,-56.25,True,0.0,0.9142452161587524
-20.0_-56.5,0.0043803143519711,3881,325,50.7488252,3.2941176470588234,3.0422571502190157,1.0827873793711609,1.7647058823529411,1.760113372842051,1.0026092123278822,0.0383921669672764,0.0,0.0654470497294511,0.0,-20.0,-56.5,True,0.0,0.0
-20.0_-56.75,0.0049921177088807,3806,360,58.392524300000005,3.473684210526316,3.0943247503941147,1.1225984635529556,2.210526315789474,1.7524960588544405,1.2613587942870672,0.0412506568575932,0.0,0.0651602732527588,0.0,-20.0,-56.75,True,0.0,0.0
-20.0_-57.0,0.0050145157033518,3789,364,56.5581326,3.8421052631578942,3.1119028767484824,1.2346481928678876,2.263157894736842,1.745051464766429,1.2969003725284172,0.0380047505938242,0.0069444444444444,0.0691475323304302,0.0,-20.0,-57.0,True,1.3848684210526314,0.0
-20.0_-57.25,0.004954367666232,3835,368,44.3296433,4.105263157894737,3.1314211212516296,1.310990441379492,2.0,1.7314211212516295,1.1551204819277108,0.039374185136897,0.0066225165562913,0.0675358539765319,0.0,-20.0,-57.25,True,1.3367026838619729,0.0
-20.0_-57.5,0.0049504950495049,3838,370,42.7722935,3.8947368421052633,3.136529442417926,1.2417345073932546,2.0,1.716519020323085,1.1651487553126898,0.0398645127670661,0.0065359477124183,0.0672225117248567,0.0,-20.0,-57.5,True,1.3202614379084967,0.0
