station,avg_increasing_chain_length,avg_increasing_chain_length_for_extremes,increasing_optimal_length,increasing_optimal_length_pp_extreme,avg_high_t_chain_length,avg_high_t_chain_length_for_extremes,high_t_optimal_length,high_t_optimal_length_pp_extreme,large_jump_pos,large_jump_pos_extreme_pp_rate,large_jump_neg,large_jump_neg_extreme_pp_rate,extreme_pp_rate,days_with_pp,extreme_pp_value,lat,lon,is_land,increasing_optimal_length_pp_extreme_norm,high_t_optimal_length_pp_extreme_norm,large_jump_pos_extreme_pp_rate_norm,large_jump_neg_extreme_pp_rate_norm,avg_high_t_chain_length_for_extremes_norm,avg_increasing_chain_length_for_extremes_norm
-20.92957425448953_-53.4375,3.097902097902098,3.125,7,0.1,3.370629370629371,1.625,2,0.15384615384615385,0.0,,0.006993006993006993,0.0,0.055944055944055944,143,15.004938980564475,-20.92957425448953,-53.4375,True,1.7875,2.75,,0.0,0.48210580912863066,1.0087471783295712
-20.92957425448953_-56.25,2.8735632183908044,3.4444444444444446,6,0.125,3.8908045977011496,4.0,6,0.25,0.0,,0.017241379310344827,0.0,0.05172413793103448,174,17.082536593079567,-20.92957425448953,-56.25,True,2.4166666666666665,4.833333333333333,,0.0,1.0280649926144756,1.1986666666666668
-20.92957425448953_-59.0625,2.8160919540229883,3.5714285714285716,6,0.2,3.218390804597701,3.5714285714285716,4,0.16666666666666666,0.011494252873563218,0.0,0.038314176245210725,0.0,0.05363984674329502,261,22.956436034291983,-20.92957425448953,-59.0625,True,3.7285714285714286,3.1071428571428568,0.0,0.0,1.1096938775510203,1.2682215743440235
-20.92957425448953_-61.875,2.4330708661417324,2.75,6,0.1875,3.257217847769029,3.6,4,0.17647058823529413,0.013123359580052493,0.2,0.007874015748031496,0.0,0.05249343832020997,381,20.53868235088885,-20.92957425448953,-61.875,True,3.571875,3.361764705882353,3.81,0.0,1.1052377115229652,1.1302588996763754
-20.92957425448953_-64.6875,2.0,1.4444444444444444,4,0.125,4.664670658682635,3.2222222222222223,4,0.2222222222222222,0.005988023952095809,0.0,0.005988023952095809,0.0,0.05389221556886228,167,16.508620977401733,-20.92957425448953,-64.6875,True,2.319444444444444,4.1234567901234565,0.0,0.0,0.6907716445585509,0.7222222222222222
-20.92957425448953_-67.5,2.0689655172413794,2.0,3,0.2,4.172413793103448,2.0,3,0.5,0.0,,0.034482758620689655,0.0,0.06896551724137931,29,22.32097378000617,-20.92957425448953,-67.5,True,2.9000000000000004,7.25,,0.0,0.4793388429752066,0.9666666666666666
-20.92957425448953_-70.3125,1.509433962264151,2.0,4,1.0,6.490566037735849,7.0,7,0.0625,0.0,,0.0,,0.05660377358490566,53,15.053456369787455,-20.92957425448953,-70.3125,False,17.666666666666668,1.1041666666666667,,,1.0784883720930232,1.325
-20.92957425448953_-73.125,3.423076923076923,2.0,3,0.25,2.769230769230769,1.5,2,1.0,0.0,,0.0,,0.07692307692307693,26,5.912536452524364,-20.92957425448953,-73.125,False,3.25,13.0,,,0.5416666666666666,0.5842696629213483
-20.92957425448953_-75.9375,4.404,4.538461538461538,5,0.09523809523809523,2.876,2.4615384615384617,6,0.16666666666666666,0.0,,0.024,0.0,0.052,250,2.2337263799272478,-20.92957425448953,-75.9375,False,1.8315018315018314,3.2051282051282053,,0.0,0.8558895902428587,1.0305316844826382
-23.72017393353477_-53.4375,2.9935064935064934,2.0625,1,0.10344827586206896,3.1103896103896105,2.8125,1,0.07407407407407407,0.025974025974025976,0.0,0.012987012987012988,0.25,0.05194805194805195,308,15.02499645575881,-23.72017393353477,-53.4375,True,1.9913793103448274,1.4259259259259258,0.0,4.8125,0.9042275574112735,0.6889913232104121
-23.72017393353477_-56.25,2.822429906542056,2.823529411764706,6,0.21428571428571427,2.987538940809969,3.7058823529411766,5,0.17647058823529413,0.01557632398753894,0.0,0.028037383177570093,0.1111111111111111,0.0529595015576324,321,17.63672037050128,-23.72017393353477,-56.25,True,4.046218487394958,3.332179930795848,0.0,2.0980392156862746,1.240446543580936,1.0003895597974288
-23.72017393353477_-59.0625,2.677233429394813,4.0,7,0.17391304347826086,2.9538904899135447,4.222222222222222,6,0.10526315789473684,0.02881844380403458,0.0,0.040345821325648415,0.0,0.05187319884726225,347,17.140513798221946,-23.72017393353477,-59.0625,True,3.3526570048309177,2.0292397660818713,0.0,0.0,1.4293766937669377,1.4940796555435951
-23.72017393353477_-61.875,2.594736842105263,3.5789473684210527,6,0.2,2.8684210526315788,3.210526315789474,3,0.0975609756097561,0.06578947368421052,0.0,0.02631578947368421,0.0,0.05,380,11.36653209105134,-23.72017393353477,-61.875,True,4.0,1.951219512195122,0.0,0.0,1.1192660550458717,1.3793103448275863
-23.72017393353477_-64.6875,1.6363636363636365,1.8,3,0.15384615384615385,4.511363636363637,1.8,3,0.2222222222222222,0.0,,0.0,,0.056818181818181816,88,14.122858922928572,-23.72017393353477,-64.6875,True,2.707692307692308,3.911111111111111,,,0.398992443324937,1.0999999999999999
-23.72017393353477_-67.5,1.3846153846153846,1.75,4,0.2,5.397435897435898,3.25,4,0.5,0.0,,0.01282051282051282,0.0,0.05128205128205128,78,10.04341326188296,-23.72017393353477,-67.5,True,3.9000000000000004,9.75,,0.0,0.6021377672209026,1.2638888888888888
-23.72017393353477_-70.3125,1.6898395721925135,1.9,4,0.14285714285714285,5.320855614973262,5.7,4,0.25,0.0,,0.016042780748663103,0.0,0.053475935828877004,187,18.194728810340166,-23.72017393353477,-70.3125,True,2.6714285714285713,4.675,,0.0,1.0712562814070352,1.124367088607595
-23.72017393353477_-73.125,3.2790697674418605,2.0,2,0.3333333333333333,2.395348837209302,1.0,1,0.10344827586206896,0.0,,0.06976744186046512,0.3333333333333333,0.06976744186046512,43,18.55522650294006,-23.72017393353477,-73.125,False,4.777777777777778,1.4827586206896552,,4.777777777777778,0.41747572815533984,0.6099290780141844
-23.72017393353477_-75.9375,3.6310679611650487,3.0,3,0.125,3.2427184466019416,2.1666666666666665,2,0.5,0.0,,0.02912621359223301,0.0,0.05825242718446602,103,8.082099468447268,-23.72017393353477,-75.9375,False,2.1458333333333335,8.583333333333334,,0.0,0.6681636726546906,0.8262032085561497
-26.510769325211022_-53.4375,2.8957816377171217,2.7142857142857144,4,0.075,2.86848635235732,3.380952380952381,4,0.1,0.062034739454094295,0.0,0.022332506203473945,0.1111111111111111,0.052109181141439205,403,19.200208922848105,-26.510769325211022,-53.4375,True,1.4392857142857143,1.9190476190476191,0.0,2.132275132275132,1.1786538144669632,0.937324029869017
-26.510769325211022_-56.25,2.7433862433862433,2.8947368421052633,4,0.09259259259259259,2.6375661375661377,2.526315789473684,4,0.08,0.06084656084656084,0.043478260869565216,0.04497354497354497,0.0,0.05026455026455026,378,21.419067587703466,-26.510769325211022,-56.25,True,1.8421052631578947,1.5915789473684212,0.8649885583524027,0.0,0.9578208309137939,1.0551692635639243
-26.510769325211022_-59.0625,2.74438202247191,3.7222222222222223,7,0.23809523809523808,2.4297752808988764,2.4444444444444446,3,0.09302325581395349,0.05898876404494382,0.047619047619047616,0.05898876404494382,0.09523809523809523,0.05056179775280899,356,18.42199070379138,-26.510769325211022,-59.0625,True,4.708994708994709,1.8397932816537468,0.9417989417989417,1.8835978835978835,1.0060372511239564,1.3563061526214035
-26.510769325211022_-61.875,2.511904761904762,2.764705882352941,7,0.23076923076923078,2.5208333333333335,3.3529411764705883,4,0.16666666666666666,0.0744047619047619,0.0,0.044642857142857144,0.0,0.050595238095238096,336,9.328806772828102,-26.510769325211022,-61.875,True,4.5610859728506785,3.2941176470588234,0.0,0.0,1.3300923675255225,1.1006412043490381
-26.510769325211022_-64.6875,1.5974025974025974,1.0,1,0.07692307692307693,4.558441558441558,4.75,6,0.25,0.0,,0.012987012987012988,0.0,0.05194805194805195,77,18.82001208141446,-26.510769325211022,-64.6875,True,1.4807692307692308,4.8125,,0.0,1.042022792022792,0.6260162601626016
-26.510769325211022_-67.5,1.7142857142857142,1.3333333333333333,2,0.11764705882352941,6.095238095238095,6.166666666666667,2,0.5,0.0,,0.0,,0.05714285714285714,105,9.877496841363609,-26.510769325211022,-67.5,True,2.058823529411765,8.75,,,1.01171875,0.7777777777777778
-26.510769325211022_-70.3125,2.2158273381294964,1.9285714285714286,2,0.09375,4.859712230215828,5.142857142857143,4,0.15,0.0,,0.0035971223021582736,0.0,0.050359712230215826,278,17.76869259774685,-26.510769325211022,-70.3125,True,1.8616071428571428,2.9785714285714286,,0.0,1.0582637199957703,0.8703617810760668
-26.510769325211022_-73.125,3.56,3.5,3,0.18181818181818182,2.76,1.5,3,0.1111111111111111,0.013333333333333334,0.0,0.05333333333333334,0.25,0.05333333333333334,75,12.445373553782701,-26.510769325211022,-73.125,False,3.409090909090909,2.083333333333333,0.0,4.6875,0.5434782608695653,0.9831460674157303
-26.510769325211022_-75.9375,4.5227272727272725,6.4,5,0.14285714285714285,2.75,2.6,2,0.5,0.0,,0.045454545454545456,0.0,0.056818181818181816,88,5.971296317875385,-26.510769325211022,-75.9375,False,2.5142857142857142,8.8,,0.0,0.9454545454545454,1.4150753768844222
-29.301359621762764_-53.4375,2.869120654396728,2.56,7,0.08333333333333333,2.321063394683027,2.08,7,0.09523809523809523,0.07566462167689161,0.02702702702702703,0.0408997955010225,0.1,0.05112474437627812,489,29.7126280143857,-29.301359621762764,-53.4375,True,1.63,1.8628571428571428,0.5286486486486487,1.9560000000000002,0.8961409691629956,0.8922594440484676
-29.301359621762764_-56.25,2.8714285714285714,2.619047619047619,6,0.125,2.2142857142857144,1.6666666666666667,3,0.06818181818181818,0.0880952380952381,0.05405405405405406,0.04285714285714286,0.1111111111111111,0.05,420,22.721233125776052,-29.301359621762764,-56.25,True,2.5,1.3636363636363635,1.0810810810810811,2.222222222222222,0.7526881720430108,0.912106135986733
